Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Product Distribution Strategy,Contacts,Url,Logo,Logo URL,Embed Code,Thumbnail
PayStand,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://paystand.com"" target=""_blank"">paystand.com</a><br>
                  <strong>Blog: </strong><a href=""http://paystand.com/blog"" target=""_blank"">paystand.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/paystand"" target=""_blank"">@paystand</a><strong><br>
                  Presenter:</strong> Jeremy Almond (CEO)</p>
                ","                    PayStand is a  next-generation payment solution enabling no fee transactions online. By  offering payments as a service, PayStand is revolutionizing commerce. One low  monthly subscription allows organizations to accept eCash (Bitcoin), eCheck,  &amp; credit cards through PayStand's all-in-one solution.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Comparing the Strengths and Weaknesses of  Different Payment Types</strong><br>Card Networks  (Visa/MasterCard/Amex), eCheck (ACH/Bank Network/Check21), and Digital Currency  (Bitcoin/Ripple/Altcoins) all have unique advantages and  disadvantages. Explore the different use cases of why each are valuable  and learn how to use PayStand's unique multi-payment network technology to  build the next generation of commerce applications.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/paystand.html,http://finovate.com/findevrsf14vid/logos/Paystand.jpg,http://paystand.com/,//fast.wistia.net/embed/iframe/5091zagmom,http://embed.wistia.com/deliveries/182dabfb71a0beda509e5b79a8c1d3879cd226e0.jpg
StockTwits,2014,San Francisco,,,,", Local and Mobile World We are in a mobile boom that has connected people who also happen to be investors. The markets have always been giant mood rings, but the periods of quiet and volatility are more intense. We’re discussing the best ways to use StockTwits to invest in the social era.",,,"<p><strong>Website: </strong><a href=""http://stocktwits.com"" target=""_blank"">stocktwits.com</a><br>
                  <strong>Blog: </strong><a href=""http://howardlindzon.com"" target=""_blank"">howardlindzon.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/stocktwits"" target=""_blank"">@stocktwits</a><strong><br>
                  Presenter:</strong> Howard Lindzon (CEO &amp; Chairman)</p>
                ","                    StockTwits is a social  network and publishing platform for investors and traders. We created the $  prefix for stocks (e.g. $MSFT). Follow <a href=""http://twitter.com/@StockTwits"" target=""_blank"">@StockTwits</a> and go to <a href=""http://stocktwits.com"" target=""_blank"">stocktwits.com</a> for  real-time ideas and stock conversations.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Investing in a Social, Local and Mobile World</strong><br>We are in a mobile boom that has  connected people who also happen to be investors. The markets have always been  giant mood rings, but the periods of quiet and volatility are more intense. We’re  discussing the best ways to use StockTwits to invest in the social era.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/stocktwits.html,http://finovate.com/findevrsf14vid/logos/StockTwits.jpg,http://stocktwits.com/,//fast.wistia.net/embed/iframe/mxy40adk50,http://embed.wistia.com/deliveries/4a40e38606e1eeb8c9663cf7262ed24f50528a75.jpg
TxPUSH,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://txpush.org"" target=""_blank"">txpush.org</a><strong><br>
Presenter:</strong> Nick Thomas (President &amp; Co-Founder)</p>
                ","                    TxPUSH is a global industry group tasked  with overseeing the development of TxPUSH technology. The group is dedicated to  making real-time financial account events available to any third party app  while improving login credential security.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Aggregation  2.0 - TxPUSH and the Evented Financial Web</strong><br>                      TxPUSH  technology is focused on aligning app user experience and FinTech industry  players around the Evented Financial Web. The TxPUSH technology will improve  the security model of the existing account aggregation ecosystem and promote  the delivery of real-time financial transaction data to account holders in the  apps they choose.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/txpush.html,http://finovate.com/findevrsf14vid/logos/TxPush.jpg,http://txpush.org/,//fast.wistia.net/embed/iframe/eys2jcdcbu,http://embed.wistia.com/deliveries/b84f0c3a088d1c55dbd9dc9e4ef03797c68a7952.jpg
EVO Snap*,2014,San Francisco,,,,,,", card-linked offers and real-time rewards at point-of-sale.","<p><strong>Website: </strong><a href=""http://evosnap.com"" target=""_blank"">evosnap.com</a><br>
                  <strong>Blog: </strong><a href=""http://evosnap.com/blog"" target=""_blank"">evosnap.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/CanYouSnap"" target=""_blank"">@CanYouSnap</a><strong><br>
                  Presenters:</strong> Peter Osberg (SVP), Darren  Adelgren (VP, Product &amp; Customer Care)</p>
                ","                    EVO Snap* is a one-stop shop for application  integration, merchant underwriting and international payment processing. Our  developer platform provides single-integration access to omni-channel payment  processing and value-added services through one API – making it easy for  developers to support merchants.                      <p><span class=""title2"">Presentation</span></p>                    <p><strong>DIY Offers and Rewards – Closing the Digital  Loyalty Loop</strong><strong> </strong><br>Activate and deepen  relationships with customers by linking consumer data with payment and  marketing services to create customized loyalty programs, card-linked offers  and real-time rewards at point-of-sale.</p>                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>DIY Offers and Rewards API – A Look Under the  Hood</strong><br>Get up close and personal  with the EVO Snap* Connect offers and rewards API and discover how to integrate  offer publishing and card-linked redemption services into your loyalty app.  Learn how to leverage pre-built service modules and explore options for making  your bank/app portal more valuable to merchants by offering detailed retail  analytics. Watch as we crack open the API, review available data, and offer up sample  code.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/evo-snap.html,http://finovate.com/findevrsf14vid/logos/EVOSnap.jpg,http://evosnap.com/,//fast.wistia.net/embed/iframe/1gcccyislb,http://embed.wistia.com/deliveries/3ba5094b41f90b0d51427a084540407f887af98c.jpg
Finicity,2014,San Francisco,,,,,,", Finicity became one of the first subscription-based Software as a Service companies on the web. Since then it has grown to service hundreds of thousands of paying customers and was awarded “Product of the Year” by PC World. Nick has served in Engineering, Marketing, Product Management, Mobile and Web Software Design/Development, and Technology Infrastructure transformation roles for Fortune 500, mid-market, and start-up organizations including the Nordmark Group, Hivelaunch, Unicity, 3Com, US Robotics, and Megahertz.","<p><strong>Website: </strong><a href=""http://finicity.com"" target=""_blank"">finicity.com</a><strong><br>
                  Presenters:</strong> Nicholas Thomas (President &amp; Co-Founder), Chip Whitmer (CTO) </p>                ","                    Founded in 1999, Finicity is a privately held fintech industry  pioneer. Leading the charge to the Evented Financial Web, Finicity enables  fintech developers to build real-time apps through its RESTful Aggregation API  and the Finicity API Platform.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Aggregation Reloaded</strong><br>                      Forged  and hardened in consumer PFM over the past 13 years, Finicity is publicly  launching its Financial Aggregation API service with unparalleled FI uptime,  broad FI coverage, 24/7 developer support, and exciting new endpoint features  that will elevate your UX.                    </p>",,"<span class=""title2"">Presenter Contact &amp; Bio</span>",http://finovate.com/findevrsf14vid/finicity.html,http://finovate.com/findevrsf14vid/logos/Finicity.jpg,http://finicity.com/,//fast.wistia.net/embed/iframe/mm1wq2ytm8,http://embed.wistia.com/deliveries/4c4dc2303d068b4ac7deac2cd4dd62e7a7a98603.jpg
Thinknum,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://thinknum.com"" target=""_blank"">thinknum.com</a><strong><br>
Twitter: </strong><a href=""http://twitter.com/thinknum"" target=""_blank"">@thinknum</a><strong><br>
Presenter:</strong> Eric Omwega (Manager)</p>
                ","                    Thinknum is a powerful web  platform to value companies. Thinknum leverages the web's resources in data and  technology for financial analysts to host their financial models on the cloud.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Thinknum: A Powerful Web Platform for  Financial Analysis</strong><br>Learn about Thinknum, the  web platform that is changing the way that financial analysts work. Find out  more about our unique data and technology that enhances the financial research  process.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/thinknum.html,http://finovate.com/findevrsf14vid/logos/Thinknum.jpg,http://thinknum.com/,//fast.wistia.net/embed/iframe/2cs2jqwllv,http://embed.wistia.com/deliveries/a1d9a63e8d0cb447f25619750a5767a68cbe4a35.jpg
TD Ameritrade Institutional,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://tdainstitutional.com"" target=""_blank"">tdainstitutional.com</a><br>
                  <strong>Blog: </strong><a href=""http://tda4advisors.com"" target=""_blank"">tda4advisors.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/TDA4advisors"" target=""_blank"">@TDA4advisors</a><br>
                  <strong>Presenter:</strong> Chris Valleley (Director, Technology Solutions)<br>
                      <br>
              </p>
                ","                    TD Ameritrade Institutional is a leading provider of  comprehensive brokerage and custody services to more than 4,500 fee-based,  independent Registered Investment Advisors and their clients. Our advanced  technology and personal support allow investment advisors to grow their  businesses more effectively. TD Ameritrade Institutional, Division of TD  Ameritrade, Inc., member FINRA/SIPC.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>The Power of Together = Better</strong><br>                      The open-source world seizes opportunities with new and divergent  technologies. Learn how TD Ameritrade Institutional has taken a game changing approach  that is not just propelling advisors forward, but is also fostering a  collaborative community of third-party technology providers.</p>                    <p><span class=""title2"">Workshops</span></p>                    <p><strong>Check Out What’s Under the Hood of TD  Ameritrade’s Open Access Platform</strong><br>See why TD Ameritrade’s custodial technology had the most  “very satisfied” financial advisors two years in a row.* Learn how collaborating  with third-party providers has taken API connectivity, automated data feeds,  embedded workflows, and more to a whole new level.</p>                    <p><strong>Test Drive the Deep Integrations Between  Salesforce CRM and TD Ameritrade</strong> <br>                      Learn how financial advisors may improve their client service model  using Salesforce CRM coupled with deep custodial integrations. Watch how  efficiency can be easily attained with e-signature account opening, real-time  data access, and contextual navigations to and from the custodian.</p>                    <p><strong>Get a Behind-the-Scenes Look at the Redtail  CRM and TD Ameritrade Integration</strong><br>                      Learn how financial advisors can work to maximize operational  efficiency and provide better client service while we explore how to harness  the power of scalability with e-signature integrations for account opening,  real-time data access, and contextual navigations to and from the custodian.</p>                    <p><strong>Innovations in Wealth Management Technology to  Attract Next Generation Clients<br>                      </strong>Online  investment advisory solutions are providing tremendous opportunities for both  established and next-generation financial advisors to grow their business. Catch up on trends in digital wealth management, the technology powering  it, and how financial advisors can embrace it.<br>                    </p>                    <p><strong>Capturing Market Opportunities With Wearable  Technology<br>                    </strong>With the mass movement of data and services to the cloud, the  potential to conduct business anywhere and anytime has extended to wearable  technology. Hear how TD Ameritrade is using our innovative API to  make staying on top of the markets a reality on Google Glass.</p>                    <p><img src=""images/sh-divider.jpg"" width=""611"" height=""10""></p>                    <p><span class=""title"">Video Download</span>To View this Video in a New Window: Left-click on either link below.                    </p><p>To Download: Right-click on the appropriate link below and select ""Save Target   As..."" or ""Save Link As...""</p>                    <p><img src=""images/download-bullet.gif"" width=""14"" height=""14"" hspace=""10"" align=""absmiddle""><a href=""http://finovate.com/findevrsf14vid/videos/TdAmeritrade.mov"" target=""_blank"">HD version of this video</a></p>                    <p><img src=""images/download-bullet.gif"" width=""14"" height=""14"" hspace=""10"" align=""absmiddle""><a href=""http://finovate.com/findevrsf14vid/videos/low/TdAmeritrade.mov"" target=""_blank"">Non-HD smaller version for slower connections</a></p>                    <p>To Embed: Copy and paste the codes below.</p>                    <p><textarea name=""code"" id=""code"" style=""width: 611px; height: 48px; margin: 0px; padding: 3px;"" readonly onfocus=""document.getElementById('code').select();""><script type=""text/javascript"" src=""http://finovate.com/player/?width=960&amp;height=540&amp;video=%2Ffindevrsf14vid%2Fvideos%2FTdAmeritrade.mov""></script><noscript>The video cannot be loaded as your browser does not support JavaScript.</noscript> </textarea></p>",,,http://finovate.com/findevrsf14vid/td-ameritrade.html,http://finovate.com/findevrsf14vid/logos/TDAmeritrade.jpg,http://tdainstitutional.com/,
GreenAddressIT,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://greenaddress.it"" target=""_blank"">greenaddress.it</a><br>
                  <strong>Blog: </strong><a href=""http://blog.greenaddress.it"" target=""_blank"">blog.greenaddress.it</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/greenaddress"" target=""_blank"">@greenaddress</a><strong><br>
                  Presenter:</strong> Lawrence Nahum (CEO &amp; Founder)</p>
                ","                    GreenAddress is a leader in securing bitcoins  and providing instant clearing confirmations. It supports desktop, mobile and  web apps and offers a very featureful and secure wallet as well as APIs to  enable third party developers.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>GreenAddress:  Instant and Secure Bitcoin</strong><br>The presentation is  introducing bitcoin's multisignature features. These features allow users to  radically improve the security of bitcoin wallets, as well as create new  services like instant confirmation allowing for faster arbitration between  exchanges.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/greenaddress.html,http://finovate.com/findevrsf14vid/logos/greenaddress.jpg,http://greenaddress.it/,//fast.wistia.net/embed/iframe/hkqsh3mw56,http://embed.wistia.com/deliveries/039f72594d2732050bf99dddb759a486c1b69f2e.jpg
Knox Payments,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://knoxpayments.com"" target=""_blank"">knoxpayments.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.knoxpayments.com"" target=""_blank"">blog.knoxpayments.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/knoxpayments"" target=""_blank"">@knoxpayments</a><strong><br>
                  Presenter:</strong> Thomas Nicholas (President) </p>
                ","                    Knox allows people to make ACH payments using  only their online banking login information, providing the cheapest, safest,  and easiest way to accept digital payments.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>ACH  That Doesn't Suck: No Account and Routing Numbers Needed</strong><br>Developing ACH processing  the traditional way is horrible. Your users don't know their account and  routing numbers and you don't know if they actually have the money. Knox has  solved these problems with the ease of just logging into your online banking,  making ACH cheaper, safer, and easier.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/knox.html,http://finovate.com/findevrsf14vid/logos/knox_logo.jpg,http://knoxpayments.com/,//fast.wistia.net/embed/iframe/3l2ev6u0dh,http://embed.wistia.com/deliveries/0727c0898b35f6ebac4222a1d4d70f93142aa546.jpg
Concur,2014,San Francisco,,,,,,", They Don't Lie . . . Concur processes more than $55 billion dollars in annual T&E spend for its 25 million customers. In this presentation, Mithun walks through and gave us insight into this spend and tell developers why it’s a great opportunity to tap into this lucrative market.","<p><strong>Website: </strong><a href=""http://concur.com"" target=""_blank"">concur.com</a><br>
                  <strong>Blog: </strong><a href=""http://concur.com/blog"" target=""_blank"">concur.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/Concur"" target=""_blank"">@Concur</a><strong><br>
                  Presenter:</strong> Mithun Dhar (Dir. Evangelism &amp; Strategic  Mktg)</p>                ","                    Concur is a leading provider of integrated travel and expense  management solutions trusted by over 25,000 clients around the globe, with over  25 million users. The Concur Platform allows developers to develop and market  innovative solutions to the lucrative $1.12 trillion business travel market.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Numbers, They Don't Lie . . . </strong><br>Concur processes more than $55 billion dollars in annual T&amp;E spend  for its 25 million customers. In this presentation, Mithun walks through  and gave us insight into this spend and tell developers why it’s a great  opportunity to tap into this lucrative market.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/concur.html,http://finovate.com/findevrsf14vid/logos/Concur.jpg,http://concur.com/,//fast.wistia.net/embed/iframe/cq6pem7kau,http://embed.wistia.com/deliveries/b1e16bfd7fe433b8d06b7198458182c784d8ce1c.jpg
