Video Show,Show year,Location,Company Details,Key Stats,Url
AXA Banque and,2014,Europe,"How they describe their product/innovation: SOON is changing the way everyday banking is done. Mobile banking can be much more than another channel to use the same banking services because mobile handset capabilities enable brand new user experiences. SOON is one of the first bank services to be specially designed for a mobile smartphone, with the objective to make bank services useful, simple, and pleasant. Focusing on design and user experience, we took Apple as an example and used the Nudge marketing theory to develop useful functionalities to manage money.","",http://www.finovate.com/europe14vid/axabanque_cappuishaldercie.html
Advanced Merchant Payments,2014,Europe,"How they describe their product/innovation: AMP’s small business lending solution offers an efficient and scalable means by which banks can readily originate and manage a broad portfolio of small business loans. AMP solves the problem of “the missing middle”: small businesses with one or more bank accounts for which neither consumer nor traditional SME loan products are suitable. AMP’s platform utilizes existing communication methods to bridge the divide between the Retail Banking and Business Banking activities of a bank – without the costs and difficulties inherent in formal bank system integration. AMP can manage all or some stages of the loan process: from Qualification to Verification, Credit Scoring, Approval, Disbursement, Daily Repayment & Risk Monitoring, through to Completion.","Key Executives: Thomas J. DeLuca (CEO), James Lloyd (Director of Product Management) & Carmen Lee (Deputy General Manager).Key Partnerships: Key partners include leading merchant acquirers and international financial institutions.Contacts: Bus. Dev.: Thomas J. DeLuca, CEO, tdeluca@advanced-pay.com, (o) +852 2541 3180, (m) +852 6162 6572 & James Lloyd, Director of Product Management, j.lloyd@advanced-pay.com, (o) +852 2541 3180, (m) +852 5690 0619",http://www.finovate.com/europe14vid/amp.html
AdviceGames,2014,Europe,"How they describe their product/innovation: AdviceGames developed the World’s first Virtual Guardian (Advisors) Angel, namely - an intelligent Financial Experience Cloud Platform (FECP). This platform offers two high end services which gives Banks, Insurers and IFAs the tools they require to once again successfully serve these markets. Firstly it offers the World’s first academic and interactive omnichannel performance monitor - the NIFA (National Index for Financial Advice) Suite. Secondly the VGA offers an online loyalty store, which provides a cloud-based angel offering designed to improve consumer experience leading to breakthrough customer loyalty.","Key Executives: Diederick Van Thiel (CEO), Rosali Steenkamer (COO)Key Investors: Ecology, BiondaKey Advisory Board Members: Professor W.F. van RaaijKey Partnerships: GfK Research, GfK NOP, Tilburg UniversityContacts: Bus. Dev. & Sales: Diederick van Thiel Press: Rosali Steenkamer",http://www.finovate.com/europe14vid/advicegames.html
AnalytixInsight,2014,Europe,"How they describe their product/innovation: AnalytixInsight and CapitalCube launched their newest product - Fundamental ETF analysis. The ETF analysis provides unique fundamental research of an ETF based on the analysis and risk assessment of the daily changing underlying compositions. This enables investors to easily discern the fundamental risk and characteristics of each ETF, especially with respect to other ETF alternatives available to them. The service is intended to address the till now unmet need of fundamental analysis of each ETF globally.","Key Executives: Chaith Kondragunta (CEO), Gautam Pasupuleti (COO)Key Board Members: Prakash Hariharan (Chairman)Contacts: Bus. Dev.: chaith.kondragunta@analytixinsight.com Press: abha.dawesar@analytixinsight.com Sales: gautam.pasupuleti@analytixinsight.com",http://www.finovate.com/europe14vid/capitalcube.html
Arxan Technologies,2014,Europe,"How they describe their product/innovation: Arxan’s mobile application hardening™ delivers critical defense and shielding at the application layer with static and active self-defend and tamper-proof attributes. By deploying Arxan protected apps, financial institutions can launch advanced and feature-rich mobile financial services with confidence. Our state of the art ‘Guards’ are small units of object code that “lockdown” applications with multiple and performance sensitive protection against attacks such as malware, fraud, data breach repackaging, unauthorized access, IP theft, removal of security or critical business logic – all of which would have significant consequences for financial institutions.","Key Executives: Michael Dager (CEO & Board Chairman), Kevin Morgan (CTO & VP Engineering), Tom van Gorder (VP Worldwide Sales & Channels), Jodi Wadhwa (VP Marketing), Vince Arneja (VP Product Management), Jukka Alanen (VP Business Development), Michael Kelley (VP Finance)Key Board Members: Michael Dager (CEO & Board Chairman, Arxan Technologies), Elizabeth de Saint-Aignan (Principal, TA Associates), Kenneth T. Schiciano (Managing Director & Co-Head of North America Technology Group, TA Associates)Key Partnerships: IBM, HP, Cigital, Microsoft Visual Studio, ARM, Appthority, Macnica Networks, eNsecureContacts: Bus. Dev.: Jukka Alanen, VP Business Development, jalanen@arxan.com, +1 650 861 9659 Press: Jodi Wadhwa, VP Marketing, jwadhwa@arxan.com, +1 301 968 4290 Sales: Tom van Gorder, VP Worldwide Sales, tvangorder@arxan.com, +1 301 968 4290 & Mark Noctor, W. EMEA Sales Director, mnoctor@arxan.com, +44 1491 5265 00",http://www.finovate.com/europe14vid/arxan.html
Atsora,2014,Europe,"How they describe their product/innovation: Momentum is a software placed between the SME and Bank. One, integrated online and mobile application is used for planning business models and monitoring the cash flow and growth based on financial data. Users can easily share selected information with the Bank in order to get tailor-made offers and on-time support. The SME receives a complimentary set of functionality helping with cash flow and business model planning, cost optimization, and client profitability management. Everything seamlessly integrates with bank accounts, providing a real-time view on business. The Bank in turn gets better insight and can deliver the products exactly as needed. We support all phases of the SME lifecycle in order to improve cross selling and proactively manage retention.","Key Executives: Katarzyna Sadowska (CEO), Anna Ciesielska (COO & Founding Partner), Krzysztof Pulkiewicz (CTO)Key Board Members: Piotr Sienkiewicz (Head of Profound Ventures), Stanisław MatuszewskiKey Investors: Profound VenturesKey Advisory Board Members: Waldemar Sielski was the first GM of Microsoft Poland and ran the office in the first 8 years of Microsoft Corporation’s presence in Poland.Key Partnerships: BCMLogic Solutions, Microsoft, Open Bank ProjectKey Customers: Undergoing two Proof of Concept projects with banks.Contacts: Bus. Dev., Press & Sales: Anna Ciesielska (COO), anna.ciesielska@atsora.com",http://www.finovate.com/europe14vid/atsora.html
Avoka,2014,Europe,"How they describe their product/innovation: Avoka Transact, a multi-channel digital business platform, delivers a complete transaction experience that goes beyond ‘online forms’. Avoka Transact:","Key Executives: Philip Copeland (CEO), Richard Austen (General Manager, Europe), David Robinson (President, Avoka USA), Derek Corcoran (Head of Business Solutions)Key Investors: Roger Allen, investor and entrepreneurKey Partnerships: Microsoft, Samsung, Docusign, Adobe, Veda, GB GroupKey Customers: Bridgepoint Education, Westpac, St. George Bank, Millennium Trust, Capital One, Australian Government, US Department of Interior, UK Government, Overland SolutionsContacts: Bus. Dev.: Richard Austen, General Manager, Europe, rausten@avoka.com, sales@avoka.com, +44 203 514 8556 Press: Sarah Samplonius, Digital Marketing Manager, ssamplonius@avoka.com, +1 303 800 6323 Sales: Steve Moore, Senior Sales Executive, smoore@avoka.com, sales@avoka.com, +44 203 514 8556",http://www.finovate.com/europe14vid/avoka.html
Backbase,2014,Europe,"How they describe their product/innovation: We launched our new mobile origination and enrollment module at FinovateEurope 2014. With the strong mobile capabilities of the Backbase Platform and the growing digital marketing capabilities, we are now including an out-of-the-box tool for seamless mobile enrollment experiences.","Key Executives: Jouk Pleiter (CEO & Co-Founder), Herber de Ruijter (General Manager, North America)Key Advisory Board Members: Brett King (Founder, Movenbank), Roger Peverelli (Founder, VODW)Key Customers: Backbase software is used by global financials including ABN AMRO, AIG, Al Rajhi Bank, Bank of America, Barclays, CertusBank, Deutsche Bank, ING, UBS, and Visa.Contacts: Press: Jelmer de Jong, Global Head of Marketing, jelmer@backbase.com, +31 6 230 260 12 Sales: Pete Atkinson, VP United Kingdom & Ireland, pete.atkinson@backbase.com, +44 77403 006 06",http://www.finovate.com/europe14vid/backbase.html
BehavioSec,2014,Europe,"How they describe their product/innovation: User-friendly, adaptive user authentication via risk based authentication, or behavioural biometrics, and the reality of legacy systems at our current customers.","Key Executives: Neil Costigan (CEO), Olov Renberg (COO)Key Investors: Conor Venture Partners and Partner Invest Norr with their 2011 investment, combined with seed capital funding from Innovationsbron, Lunova, PNF venture capitalKey Partnerships: HiD GlobalContacts: Press & Sales: Olov Renberg, COO, orenberg@behaviosec.com",http://www.finovate.com/europe14vid/behaviosec.html
CRIF,2014,Europe,"How they describe their product/innovation: CRIF’s innovation combines lending via mobile devices with agile, business user-friendly technology to ensure business KPIs are met during the sales phase of the lending process. The demo shows new releases of CRIF Credit Framework’s technology, which is a Smart Process Application platform built specifically for the credit and lending space that is extremely adaptable to any business, compliance regulation, and country requirement. It consists of modular decision management, process management, and business intelligence products used to develop smart, dynamic applications for credit, risk management, and lending. Flexibility along with control and analytical features allow our customers to be faster, better, and more efficient.","Key Executives: Carlo Gherardi (CEO, CRIF), Silvia Ghielmetti (GM, CRIF Decision Solutions), Aldo Bruschi (VP Global Decisioning Business Development & Delivery, CRIF Decision Solutions)Key Customers: Customers span all types and sizes of financial institutions, telco, energy, utilities and other businesses worldwide. Thirty percent of CRIF Credit Framework solutions are cloud, BPO or another type of service managed by CRIF or partners.Contacts: Bus. Dev. & Sales: Aldo Bruschi, VP Global Decisioning Business Development & Delivery, a.bruschi@crif.com, +39 335 740 2321 Press: Sheila Donohue, Product Marketing Manager, s.donohue@crif.com, +39 335 730 8143",http://www.finovate.com/europe14vid/crif.html
