Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Logo,Embed Code
Temenos,2014,Europe,"David Arnott (CEO), Max Chuard (CFO), Andre Loustau (CTO), Mark Winterburn (Group Product Director), Mike Davis (Global Head of Services)",Andreas Andreades (Executive Chairman),,,"Temenos Global Service Partners include Accenture, Cognizant Technology Solutions, Capgemini, Deloitte, and Wipro. Best of breed Complimentary Solution Partners include HID Global, EFS, Enghouse Interactive, FOT Group, FRS Global, Interactive Data, Luup, Naqoda Optria, Systar, T24 Biometrics, Validata Group, and Verisim. Best of breed technology partners include Microsoft, HP, IBM, and Oracle.","Temenos has over 1,200 customers across the globe.","<strong>Website: </strong><a target=""_blank"" href=""http://temenos.com"">temenos.com</a><br>
                  <strong>LinkedIn:</strong> <a href=""http://linkedin.com/company/temenos"" target=""_blank"">linkedin.com/company/temenos</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/Temenos"" target=""_blank"">@Temenos</a><br>
                      <br>
                               <strong> HQ: </strong>Geneva,  Switzerland<br>
                               <strong>Founded: </strong>1993<br>
                               <strong>Product Demoed: </strong>Temenos Treasury  Management Dashboard Tablet App<br>
                               <strong>Product Launch: </strong>May 2014<br>
                      <strong>Metrics: </strong>3,700 employees worldwide,  1,500 customer deployments, $450M revenue in 2012<br>
                      <strong>Presenters: </strong>Adam Gable (Product Manager), Mike Williams (Sales Director, Temenos Channel Solutions)<br>
              ","                    <strong>How they describe themselves: </strong>Founded in 1993 and listed  on the Swiss Stock Exchange (SIX: TEMN), Temenos Group AG is the market leading  provider of banking software systems to retail, corporate, universal, private,  Islamic, microfinance and community banks, wealth managers, and financial  institutions. Headquartered in Geneva and with more than 59 offices worldwide,  Temenos is proven in over 1,500 customer deployments in more than 140 countries  across the world.                    <p>According to IBS  Intelligence, which maintains an annual league table, Temenos T24 was ranked  the number one bestselling core banking solution for 2012, having been in one  of the top two places for the past 14 years.</p>                    <p><strong>How they describe their product/innovation:</strong> The Temenos Treasury  Management Dashboard Tablet App has been developed for Microsoft Windows 8 and  enables the transformation of treasury operations. It provides a dynamic  dashboard user interface, accessing real time, accurate business-critical  information in relation to the bank’s overall position against the market,  enabling them to spot opportunities and manage risk from wherever they are and  at any time. This app allows better access, increased mobility, and stronger  collaboration for information sharing in the workplace whilst enabling treasury  managers to be far more responsive and effective in making critical business  decisions - ultimately producing higher returns and managing risk.</p>",http://www.finovate.com/europe14vid/temenos.html,http://www.finovate.com/europe14vid/logos/Temenos.jpg,//fast.wistia.net/embed/iframe/lk84i3uugq
Truphone,2014,Europe,"Steve Robertson (CEO), Paul Liesching (SVP, Mobile Recording), James Tagg (CTO), Colin Windsor (COO), Robert Jones (MD Europe), Tim Raby (MD USA)",,,"Vollin Holdings, Minden Worldwide","BT Global Services Financial Markets, Top tier mobile network operators","Three of the top five banks (four of the top ten), many FTSE 100 companies and Fortune 1,000 companies, Named accounts: Caterham F1 Team, Airinmar, Bugaboo, Fitflop","<strong>Website: </strong><a target=""_blank"" href=""http://truphone.com"">truphone.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.truphone.com"" target=""_blank"">blog.truphone.com</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/Truphone"" target=""_blank"">@Truphone</a><br>
                      <br>
                               <strong> HQ: </strong>London, UK<br>
                               <strong>Founded: </strong>June 2006<br>
                               <strong>Product Demoed: </strong>Truphone  Mobile Recording<br>
                               <strong>Product Launch: </strong>September  2013 (USA), UK Launch November 2011<br>
                      <strong>Metrics: </strong>Raised over £200M, circa 700 employees in ten offices  across four continents, counts 3 of the top 5 banks in the world as customers,  plus many of the FTSE 100 and Fortune 1000.<br>
                      <strong>Presenters: </strong>Paul Liesching (SVP Mobile Recording), Tom King (Enterprise Account Manager)","                    <strong>How they describe themselves: </strong>Truphone  is the only mobile operator without country borders. It brings people closer to  their international contacts, makes them more productive, and delivers the  business-class service they deserve, internationally.<br>                        <br>                      Customers use their voice, text and data bundles internationally, receive  better voice quality, and a better data experience. And with multiple  international mobile numbers on a single SIM, international employees are more  accessible.                      <p>Truphone  Mobile Recording records, encrypts and stores all calls and text  messages. Whether Financial Institutions need to comply with financial  legislation or just keep track of their conversations, they can do so without  changing their user’s behaviour.</p>                    <p><strong>How they describe their product/innovation:</strong> The  Dodd-Frank Act poses banking technologists with a technical and compliance  problem. They must record all mobile phone communications relevant to a  trade. Today, most banks do not record mobile devices, they fall outside  of their technology stack. Communication is invisible; and that’s why the  regulation now exists.</p>                    <p>With  Truphone Mobile Recording, businesses record, encrypt and store their mobile  calls and text messages, simply and securely – without changing the user  experience. Truphone Mobile Recording is available as a secure hosted  solution, or can be integrated with existing recording equipment.</p>",http://www.finovate.com/europe14vid/truphone.html,http://www.finovate.com/europe14vid/logos/Truphone.jpg,//fast.wistia.net/embed/iframe/203n4iwdms
Trustev,2014,Europe,"Pat Phelan (CEO & Co-Founder), Chris Kennedy (CTO & Co-Founder), Stephen Fanning (CFO), John Peavoy (VP Sales), Diarmuid Thoma (Director, Fraud & Data Strategy), DC Cahalane (CMO)","Pat Phelan (CEO & Co-Founder), Chris Kennedy (CTO & Co-Founder)","Anil Hansjee (ex head of M&A, Google EMEA), Trevor Healy, David Coalier (Data Scientist & Investor with successful exits)","Greycroft Partners (NYC), Mangrove Capital (UK), ACT Ventures (Ireland), Notion Capital (UK), Wayra (Ireland), Enterprise Ireland (Ireland)",Microsoft - named Startup Partner of the Year in 2013,,"<strong>Website: </strong><a target=""_blank"" href=""http://trustev.com"">trustev.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.trustev.com"" target=""_blank"">blog.trustev.com</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/trustev"" target=""_blank"">@trustev</a><br>
                      <br>
                               <strong> HQ: </strong>Cork, Ireland<br>
                               <strong>Founded: </strong>May 2013<br>
                               <strong>Product Demoed: </strong>Trustev Retail Decision<br>
                               <strong>Product Launch: </strong>February 2014<br>
                      <strong>Metrics: </strong>Founded in early 2013,  Trustev currently employs 15 at its HQ in Cork, Ireland and recently opened a  Sales Office in New York. In late 2013, Trustev announced one of Europe's  largest ever seed rounds when it raised $3.5M from a mix of international funds  - a huge achievement for a company less than a year old. In August 2013,  Trustev was named Europe's Top Technology Startup by the European Commission. The  company currently processes in excess of 250,000 records every single day.<br>
                      <strong>Presenters: </strong>Pat Phelan (CEO &amp; Co-Founder), Chris Kennedy (CTO &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>Trustev provides a new  approach to fraud prevention through a real-time, online identity verification  platform which ensures that merchants know exactly who they are selling to.  Focused on delivering enterprise level technologies to anyone transacting  online, the company has customers in the online retail, gambling, banking, peer-to-peer  lending, and crowd funding spaces.                    <p><strong>How they describe their product/innovation:</strong> Trustev Retail Decision  (Trustev RD) provides real-time verification of customer identities in a  physical retail location where across the counter sales are occurring. A  software solution that runs on tablets, the product allows in store staff to  verify customer identities without requiring customers to produce masses of  paperwork.</p>                    <p>Developed initially for the Retail Telecom  sector, the product has been adapted for other industries.</p>",http://www.finovate.com/europe14vid/trustev.html,http://www.finovate.com/europe14vid/logos/trustev.jpg,//fast.wistia.net/embed/iframe/hdbqgjavw5
EXCESS RETURN,2014,Europe,"Frederic Liefferinckx (Founder), Omar Taoufik (Founder)","Frederic Liefferinckx (Founder), Omar Taoufik (Founder)",,,Thomson Reuters,"Keytrade Bank (BE), Leleux Associated Brokers (BE), Mediafin (BE), Credit Agricole (FR), BforBank (FR), BinckBank (FR)","<strong>Website: </strong><a target=""_blank"" href=""http://xsreturn.com"">xsreturn.com</a><br>
                      <br>
                               <strong> HQ: </strong>Brussels, Belgium <br>
                               <strong>Founded: </strong>October  2011 <br>
                               <strong>Product Demoed: </strong>SCREENER/REPORT <br>
                               <strong>Product Launch: </strong>February 2014 <br>
                               <strong>Metrics: </strong>Company Ownership: private, self-funded; Employees: 2 founders (financial analysts) and 3 IT  engineers. To date, we’ve contracted large accounts (online brokers, banks, and  media groups) and hundreds of thousands of users use our applications. EXCESS RETURN is targeting a total revenue of €2.5M  for 2014. The company didn’t raise any money yet and  the shareholders are still the same (the 2 founders).<br>
                               <strong>Presenters: </strong>Frederic Lieferinckx (Founder), Erik Laeremans (Web Designer &amp; Developer) ","                    <strong>How they describe themselves: </strong>EXCESS RETURN develops new  generation investment tools for the financial community. The concept dates back  to 2005, and the original idea was to generate automatic research notes  (REPORTS) on any company listed on the stock market, worldwide, without human  intervention. Far from being a simple summary of boring raw financial data,  this REPORT had to interpret the figures in a clear language. The REPORT had to  reach the same degree of professionalism than one being written by a financial  analyst. SCREENER/REPORT is an automatic tool that brings an immediate and  crystal clear diagnosis on a trading opportunity.                    <p><strong>How they describe their product/innovation:</strong></p>                    <ol><li>SCREENER<br>                        Open the trading ideas box. Find the  most promising stocks thanks to our SCREENER module. <br>                        </li>                      <li>REPORT<br>                        Buy? Hold? Sell? Easy to use  decision tool, our REPORT module. </li>                    </ol>",http://www.finovate.com/europe14vid/excessreturn.html,http://www.finovate.com/europe14vid/logos/EXCESSRETURN.jpg,//fast.wistia.net/embed/iframe/uqp242o2uj
Smart Engine,2014,Europe,"Christian Bacher (Managing Partner), Anna Bacher (Director of Sales & Bus. Dev.), Dr. Erich Gstrein (Director of Research & Innovation), Heimo Tomann (Director of Finance), Peter Welzl (Director of Business Analysis & Analytics), Thomas Plewe (IT Director), Stephen Bingle (Head of Asia Bus. Dev.)",,,Private Venture Capital Investor #1 (45%) & Private Venture Capital Investor #2 (15%),,"Banks, Merchants and Web shops in Europe, Russia CIS, Asia","<strong>Website: </strong><a target=""_blank"" href=""http://smartengine.at"">smartengine.at</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/SmartengineNws"" target=""_blank"">@SmartengineNws</a><br>
                      <br>
                               <strong> HQ: </strong>Europe:  Vienna, Austria, Asia: Hong Kong, China<br>
                               <strong>Founded:</strong> December 2010<br>
                               <strong>Product Demoed: </strong>Shopping Assistance<br>
                               <strong>Product Launch: </strong>Q1, 2014<br>
                      <strong>Metrics: </strong>Money raised to date: $8M, annual revenues: $950,000,  number of employees: 35, shareholder structure: 60% – 2 private venture capital  funds, 40% – management<br>
                      <strong>Presenters: </strong>Christian Bacher (Managing Partner), Anna Bacher (Director of Sales &amp; Bus. Dev.)","                      <strong>How they describe themselves: </strong>Smart  Engine stands for personalization and target marketing. As pioneers in the  field of customer loyalty, we are drivers of innovation and leaders in  personalized target marketing.<br>                      <br>Partnering with financial services companies and merchants, we deliver  personalized target marketing offers to consumers through modern online  channels helping consumers save money, time, and effort. We call this “Smart  Shopping” – delivering great deals on products, which resonate on an individual  level, and ease of shopping. </p>                    <p><strong>How they describe their product/innovation:</strong> We demonstrated the next generation of our innovative Shopping Assistance functionality  which adds an entirely new level of “big data” consumer profiling and  multichannel targeting to our card linked offer bank loyalty platform. <br>                        <br>                      The cardholder checks in at the merchant store using the App or logs on to the  web shop. Our consumer insight analytics in real time pushes relevant shopping  offers and recommendations which match the cardholder’s preferences. The  preferences are derived from the cardholder’s profile which we maintain  consistently across all merchant sales channels. The cardholder checks out from  the store using the Smart Engine App, paying for the purchase and redeeming a  discount all in one go.</p>",http://www.finovate.com/europe14vid/smartengine.html,http://www.finovate.com/europe14vid/logos/SmartEngine.jpg,//fast.wistia.net/embed/iframe/x3wgtvgfj7
payworks,2014,Europe,"Christian Deger (CEO), David Bellem (CTO Platform Development), Simon Eumes (CTO Payment Integration), Johannes Lechner (Head of Product)",,,"Barikuta Partners, Speedinvest",,,"<strong>Website: </strong><a target=""_blank"" href=""http://payworksmobile.com"">payworksmobile.com</a><br>
                  <strong>Blog:</strong> <a href=""http://payworksmobile.com/blog"" target=""_blank"">payworksmobile.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/payworksmobile"" target=""_blank"">@payworksmobile</a> <br>
                      <br>
                               <strong> HQ: </strong>Munich, Germany<br>
                               <strong>Founded: </strong>April 2012<br>
                               <strong>Product Demoed: </strong>payworks platform<br>
                               <strong>Product Launch: </strong>Summer 2012<br>
                      <strong>Metrics: </strong>15 employees, winner of MPE  Award for most innovative payment startup<br>
                      <strong>Presenters: </strong>Christian Deger (CEO), Michael Englmaier (Head of Sales)","                      <strong>How they describe themselves: </strong>payworks is the  provider of a mobile POS Software-as-a-Service platform that lets developers  quickly build payment functionality into their shopper and merchant apps. The  mobile SDKs and APIs of payworks make it very easy to build both solutions for  face-to-face payments with Chip &amp; PIN card readers as well as solutions for  shoppers to pay directly with their phones via in-app payments and wallets. By  working with payworks, developers can spend their time to focus on building a  product that solves real merchant problems rather than fighting with complex  payment integration. payworks’ technology is the basis for many major mobile  POS initiatives throughout Europe, including payment acceptance solutions for  micro merchants.</p>                    <p><strong>How they describe their product/innovation:</strong> We are showing how easy it  is to build innovative payment solutions on top of the payworks platform and  showcase stunning checkout options.</p>",http://www.finovate.com/europe14vid/payworksmobile.html,http://www.finovate.com/europe14vid/logos/payworks.jpg,//fast.wistia.net/embed/iframe/vh1r627d22
Avoka,2014,Europe,"Philip Copeland (CEO), Richard Austen (General Manager, Europe), David Robinson (President, Avoka USA), Derek Corcoran (Head of Business Solutions)",,,"Roger Allen, investor and entrepreneur","Microsoft, Samsung, Docusign, Adobe, Veda, GB Group","Bridgepoint Education, Westpac, St. George Bank, Millennium Trust, Capital One, Australian Government, US Department of Interior, UK Government, Overland Solutions","<strong>Website: </strong><a target=""_blank"" href=""http://avoka.com"">avoka.com</a><br>
                    <strong>Blog:</strong> <a href=""http://avoka.com/blog"" target=""_blank"">avoka.com/blog</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/avokatech"" target=""_blank"">@avokatech</a><br>
                      <br>
                               <strong> HQ: </strong>Sydney, Australia<br>
                               <strong>Founded: </strong>January 2002<br>
                               <strong>Product Demoed: </strong>Avoka  Transact<br>
                               <strong>Product Launch: </strong>March 2014<br>
                               <strong>Metrics: </strong>Over 100 employees, offices in Australia, USA, and UK, tier 1 &amp; 2  Financial Services clients, government clients in USA, UK, and Australia, industry  leading NPS score (+41)<br>
                               <strong>Presenters: </strong>Derek Corcoran (Head of Business Solutions), Kevin Mortimer (Technical Director)","                    <strong>How they describe themselves: </strong>Avoka,  an innovative SaaS company offering a multi-channel digital business platform,  helps organizations successfully transform high-stakes transactions into  powerful cross-channel experiences available anywhere, anytime, and on any  device. With Avoka, organizations attract and retain more customers, sell more  products and services, reduce abandonment rates, and improve the quality of  information that flows into their IT systems.                    <p><strong>How they describe their product/innovation:</strong> Avoka  Transact, a multi-channel digital business platform, delivers a complete  transaction experience that goes beyond ‘online forms’. Avoka Transact:</p>                    <ul type=""disc"">                      <li>Gives your customers the tools and       convenience of moving seamlessly between devices and channels when completing       a single transaction.</li>                      <li>Transforms enterprise-level form-based       transactions from account opening, loan applications, and claims in to       cross-channel forms available on smartphones, tablets, and desktop       computers.</li>                      <li>Supports your customers with both       self-service and assisted channels such as in-branch, call centers, and       mobile sales staff.</li>                    </ul>",http://www.finovate.com/europe14vid/avoka.html,http://www.finovate.com/europe14vid/logos/Avoka.jpg,//fast.wistia.net/embed/iframe/yiactr76b9
Top Image Systems,2014,Europe,"Izhak Nakar (Founder & Active Chairman), Michael Schrader (COO), Isaac Rome (VP Global Banking & Mobile), Barry Richards (MD, EMEA)",,,,"TIS cooperates with over 70 partners, including PFU (Fujitsu), DICOM and Kodak; resellers including Xerox, Medius and Konica Minolta; BPOs including Accenture, Bosch BCC, Williams Lea, Postel Italia and DeutschePost; technology partnerships such as Microsoft, Amazon, SAP and with engine providers ABBYY, OMNPAGE, A2IA and more. In the mobile arena, TIS has established partnerships with TransCentra, Jack Henry & Associates and most recently Fiserv.","The TIS install base is comprised of several Fortune 100 companies and numerous enterprises, governments and institutions across varied document-intensive business segments. eFLOW is deployed in more than 60 banks and shared service centers in the financial markets, including Citibank, Standard Chartered Bank, HSBC, Bank of America Merrill Lynch, Deutsche Bank, J.P. Morgan Chase & Co. and more. Contacts: Bus. Dev.: Isaac Rome, VP Global Banking & Mobile, isaac.rome@topimagesystems.com Press: Shelli Zargary, Director of Corporate Marketing, shelli.zargary@topimagesystems.com Sales: Yoss Perl, General Manager S. EMEA, yoss.perl@topimagesystems.com","<strong>Website: </strong><a target=""_blank"" href=""http://topimagesystems.com"">topimagesystems.com</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/TopImageSystems"" target=""_blank"">@TopImageSystems</a><br>
                      <br>
                               <strong> HQ: </strong>Ramat Gan, Israel<br>
                               <strong>Founded: </strong>March 1991<br>
                               <strong>Product Demoed: </strong>MobiPAY,  MobiCHECK, MobiFLOW – mobile image processing solution suite<br>
                      <strong>Product Launch: </strong>March 2012<br>
                      <strong>Presenters: </strong>Isaac Rome (VP Mobile Solutions)","                    <strong>How they describe themselves: </strong>Top  Image Systems (TIS) (NASDAQ: TISA), a leading ECM, BPM &amp; MIP (mobile  imaging platform) provider, optimizes the capture, recognition, validation and  delivery of structured and unstructured content in every format from every  source, including mobile. Our proprietary eFLOW® platform streamlines automated  processing of digital data in solutions such as eFLOW INVOICE, Digital Mailroom  and eFLOW for Banks. Our innovative mobile image processing applications – MobiPAY,  MobiCHECK and MobiFLOW – facilitate bill payment, check deposit, enrollment and  other key mobile use cases that help rollout winning mobile banking programs  that fully integrate with our banking BPM solution.                    <p><strong>How they describe their product/innovation:</strong> Top Image  Systems has leveraged its deep recognition and imaging expertise to develop a  powerful suite of image processing applications for mobile devices. These  applications optimize user experience and minimize communication failures:  MobiPAY expedites mobile bill payment, letting users snap images to add payees  and payment methods; MobiCHECK facilitates mobile remote deposit capture and  MobiFLOW enables mobile processing of documents of any size and format. TIS’  mobile image processing technologies combine APMI (Automatic Perfect Mobile  Image) “auto-capture” functionality with IQA (Image Quality Analysis) and  on-device intelligence on the handset.</p>",http://www.finovate.com/europe14vid/topimagesystems.html,http://www.finovate.com/europe14vid/logos/TopImageSystems.jpg,//fast.wistia.net/embed/iframe/mz15zswtmk
Jack Henry & Associates and Luminous,2014,Europe,"Jack Henry & Associates Jack Prim (CEO), Kevin Williams (CFO), Steve Tomson (Sales Director, ProfitStars), Rick Cusimano (Managing Director, International), Stuart Allison (Managing Director, EMEA) Luminous Warren Bond (CEO), Arno van der Walt (CFO), Andrew Teversham (CTO), Andrew Buchanan (Global Head of Sales), Philippa Newnes (Head of Marketing), Liz Morris (Head of Talent)",,,Hasso Plattner Ventures,"Jack Henry & Associates, First National Bank (FNB), Nihilent",,"<strong>Website: </strong><a target=""_blank"" href=""http://jackhenry.uk.com"">jackhenry.uk.com</a> | <a href=""http://luminousbanking.com"" target=""_blank"">luminousbanking.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/ProfitStars"" target=""_blank"">@ProfitStars</a> | <a href=""http://twitter.com/LuminousBanking"" target=""_blank"">@LuminousBanking</a><br>
                      <br>
                               <strong> HQ: </strong>Monett,  Missouri, USA (Jack Henry &amp; Associates) &amp; Johannesburg, South Africa (Luminous)<br>
                               <strong>Founded: </strong>1976 (Jack Henry &amp;  Associates) &amp; 2009 (Luminous)<br>
                               <strong>Product Demoed: </strong>DataVault<br>
                      <strong>Product Launch: </strong>November 2013<br>
                      <strong>Presenters:</strong> Phillip Wood (Sales EMEA, Jack Henry &amp; Associates), Andrew Teversham (CTO, Luminous) ","                    <strong>How they describe themselves: </strong>Jack  Henry &amp; Associates (NASDAQ: JKHY) was founded in 1976 as a provider of core  information processing solutions for community banks. Today, their extensive  array of products and services is processing transactions, automating business  processes, and managing mission-critical information for more than 11,900  financial institutions and corporate entities of all sizes around the world.                    <p>Luminous  solves problems for banks. Their solutions are intuitive and are designed for  what banks need. Backed by Hasso Plattner Ventures, they continue to expand  their innovative way of thinking as well as their global reach with offices in  South Africa, London, Brisbane, and Mumbai.</p>                    <p><strong>How they describe their product/innovation:</strong> DataVault  is a virtual safety deposit box that allows banking customers to upload, sort,  and store personal and business documents in one secure place. Now customers  can bank online with important documents just a click away.</p>",http://www.finovate.com/europe14vid/jackhenry_luminous.html,http://www.finovate.com/europe14vid/logos/jackhenry.jpg,//fast.wistia.net/embed/iframe/q0yvl2er7r
CurrencyTransfer.com,2014,Europe,"Daniel Abrahams (Co-Founder & Head of Partnerships), Stevan Litobac (Co-Founder & Head of Product)",Lee Cory (Jago Capital),,,"Partnerships across the group include: The Currency Cloud, Sable Group, The FX Firm, Infinity International, Moneycorp, World First, International Foreign Exchange, Western Union Business Solutions, Smart Currency Exchange, OzForex Group, Transferwise, CurrencyFair.","SME's, large corporates, startups, any business making up to £200 million per annum worth of international payments.","<strong>Website: </strong><a target=""_blank"" href=""http://currencytransfer.com"">currencytransfer.com</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/currencytransfr"" target=""_blank"">@currencytransfr</a><br>
                      <br>
                               <strong> HQ: </strong>London, UK<br>
                               <strong>Founded: </strong>December 2013<br>
                               <strong>Product Demoed: </strong>CurrencyTransfer.com - Corporate Price Feed Aggregator<br>
                               <strong>Product Launch: </strong>February  2014<br>
                      <strong>Metrics: </strong>Public  launch of CurrencyTransfer.com at Finovate, offices in London &amp; Tel Aviv, 7  employees<br>
                      <strong>Presenters: </strong>Daniel Abrahams (Co-Founder &amp; Head of Partnerships), Stevan Litobac (Co-Founder &amp; Head of Product), Aviva Tabachnik (Partnerships Executive)","                    <strong>How they describe themselves: </strong>Foreign exchange companies bid. You win. Big  corporates &amp; FTSE 100 companies enjoy competitive pricing on their international  payments. Why shouldn't you? Think FXAll, 360T &amp; Currenex for the SME  market. CurrencyTransfer.com is the world's first venue for small to mid sized  companies trading up to £200 million worth of currency per annum to access  competitive international payment quotes from your currency providers in one  place. Execute your business trades at the best prices at the click of a  button. Our sister comparison websites MyCurrencyTransfer.com &amp;  MyTravelMoney.co.uk have helped private client customers transact over  $600,000,000. In the past three years, we've partnered with the major FCA authorised  and regulated non-bank foreign exchange companies.                    <p><strong>How  they describe their product/innovation:</strong> FX price  feed aggregator and execution platform that takes the technology blue chip  treasurers take for granted, and makes it accessible to the masses. We  offer a price feed aggregation solution to problems SME's trading  internationally face, including: outdated phone based comparison, experiencing  “honeymoon rates” &amp; dreadfully expensive bank foreign exchange rates. Our  goal is to create efficiency &amp; total price transparency in an expensive,  and opaque international money transfer industry. Version 1 features  include: bidding platform, trade execution, multi broker registration &amp;  post trade history.<br>                        </p>",http://www.finovate.com/europe14vid/currencytransfer.html,http://www.finovate.com/europe14vid/logos/currencytansfer.jpg,//fast.wistia.net/embed/iframe/
