Video Show,Show year,Location,url
Acuity Systems,2013,FinovateEurope,acuitysystems.html
Dashlane,2013,FinovateEurope,dashlane.html
IND Group,2013,FinovateEurope,indgroup.html
PhotoPay,2013,FinovateEurope,photopay.html
additiv,2013,FinovateEurope,additiv.html
Device Ident,2013,FinovateEurope,deviceident.html
ITSector,2013,FinovateEurope,itsector.html
Pockets United,2013,FinovateEurope,pocketsunited.html
Akamai,2013,FinovateEurope,akamai.html
Dynamics,2013,FinovateEurope,dynamicsinc.html
Kabbage,2013,FinovateEurope,kabbage.html
QuantConnect,2013,FinovateEurope,quantconnect.html
ayondo,2013,FinovateEurope,ayondo.html
ERN,2013,FinovateEurope,ern.html
Kalixa,2013,FinovateEurope,kalixa.html
rplan,2013,FinovateEurope,rplan.html
Azimo,2013,FinovateEurope,azimo.html
ETRONIKA,2013,FinovateEurope,etronika.html
Kalypton,2013,FinovateEurope,kalypton.html
SAGE,2013,FinovateEurope,sage.html
Backbase,2013,FinovateEurope,backbase.html
eWise,2013,FinovateEurope,ewise.html
Kantox,2013,FinovateEurope,kantox.html
SumUp,2013,FinovateEurope,sumup.html
BBVA,2013,FinovateEurope,bbva.html
eyeOpen,2013,FinovateEurope,eyeopen.html
LeanBanking,2013,FinovateEurope,leanbanking.html
Temenos,2013,FinovateEurope,temenos.html
Biletu,2013,FinovateEurope,biletu.html
EZBOB,2013,FinovateEurope,ezbob.html
Liqpay,2013,FinovateEurope,liqpay.html
TESOBE,2013,FinovateEurope,tesobe.html
Birdback,2013,FinovateEurope,birdback.html
Financial Simplicity,2013,FinovateEurope,financialsimplicity.html
Luminous,2013,FinovateEurope,luminousbanking.html
TransferWise,2013,FinovateEurope,transferwise.html
BörseGo,2013,FinovateEurope,boerse-go.html
Finantix,2013,FinovateEurope,finantix.html
mBank & Efigence,2013,FinovateEurope,mbank_efigence.html
True Office,2013,FinovateEurope,trueoffice.html
Cardlytics,2013,FinovateEurope,cardlytics.html
Fiserv,2013,FinovateEurope,fiserv.html
Meniga,2013,FinovateEurope,meniga.html
Trustly,2013,FinovateEurope,trustly.html
Comarch,2013,FinovateEurope,comarch.html
Five Degrees,2013,FinovateEurope,fivedegrees.html
Metaforic,2013,FinovateEurope,metaforic.html
TSYS,2013,FinovateEurope,tsys.html
CR2,2013,FinovateEurope,cr2.html
FreeAgent,2013,FinovateEurope,freeagent.html
Mistral Mobile,2013,FinovateEurope,mistralmobile.html
Virtual Piggy,2013,FinovateEurope,virtualpiggy.html
Credit Agricole,2013,FinovateEurope,creditagricole.html
GMC Software Technology,2013,FinovateEurope,gmc.html
Moven,2013,FinovateEurope,moven.html
VoiceTrust,2013,FinovateEurope,voicetrust.html
The Currency Cloud,2013,FinovateEurope,thecurrencycloud.html
Heckyl Technologies,2013,FinovateEurope,heckyl.html
NICE Systems,2013,FinovateEurope,nice.html
Xendpay,2013,FinovateEurope,xendpay.html
CurrencyFair,2013,FinovateEurope,currencyfair.html
Holvi,2013,FinovateEurope,holvi.html
OPENTECH,2013,FinovateEurope,opentech.html
Yseop,2013,FinovateEurope,yseop.html
