Video Show,Show year,Location,url
Algomi,2014,New York York,algomi.html
FamDoo,2014,New York York,famdoo.html
Luxoft,2014,New York York,luxoft.html
SAS Games,2014,New York York,tivitzcollegesavings.html
Anchor ID,2014,New York York,anchorid.html
Financeit & FIS,2014,New York York,financeit-fis.html
Malauzai Software,2014,New York York,malauzai.html
SelfScore,2014,New York York,selfscore.html
Ayasdi,2014,New York York,ayasdi.html
Finovera,2014,New York York,finovera.html
MasterCard,2014,New York York,mastercard.html
Sender & PrivatBank,2014,New York York,sender.html
Backbase,2014,New York York,backbase.html
Fiserv,2014,New York York,fiserv.html
Matchi,2014,New York York,matchi.html
Settle,2014,New York York,settle.html
BCSG,2014,New York York,bcsg.html
FlexScore,2014,New York York,flexscore.html
MaxMyInterest,2014,New York York,maxmyinterest.html
Sr. Pago,2014,New York York,senorpago.html
Behalf,2014,New York York,behalf.html
Geezeo,2014,New York York,geezeo.html
mCASH,2014,New York York,mcash.html
Thinknum,2014,New York York,thinknum.html
BioCatch,2014,New York York,biocatch.html
Global Debt Registry,2014,New York York,globaldebtregistry.html
Minetta Brook,2014,New York York,knewsapp.html
TickSmith,2014,New York York,ticksmith.html
BizEquity,2014,New York York,bizequity.html
GREMLN,2014,New York York,gremln.html
Misys,2014,New York York,misys.html
Toopher,2014,New York York,toopher.html
blooom,2014,New York York,blooom.html
HedgeCoVest,2014,New York York,hedgecovest.html
MoneyDesktop/MX,2014,New York York,moneydesktop.html
Top Image Systems,2014,New York York,topimagesystems.html
BlueVine,2014,New York York,bluevine.html
Hoyos Labs,2014,New York York,hoyoslabs.html
MoneyStream,2014,New York York,moneystream.html
True Potential,2014,New York York,truepotential.html
Cachet Financial Solutions,2014,New York York,cachetfinancial.html
iBillionaire,2014,New York York,ibillionaire.html
DigitalMailer & My Virtual StrongBox,2014,New York York,myvirtualstrongbox.html
Vantiv,2014,New York York,vantiv.html
CR2,2014,New York York,cr2.html
iQuantifi,2014,New York York,iquantifi.html
NICE Systems,2014,New York York,nice.html
VerifyValid,2014,New York York,verifyvalid.html
CrowdFlower,2014,New York York,crowdflower.html
Kabbage,2014,New York York,kabbage.html
NopSec,2014,New York York,nopsec.html
WingCash,2014,New York York,wingcash.html
Dynamics,2014,New York York,dynamicsinc.html
Kapitall,2014,New York York,kapitall.html
P2Binvestor,2014,New York York,p2bi.html
WorkFusion,2014,New York York,workfusion.html
e-SignLive by Silanis,2014,New York York,silanis.html
Knox Payments,2014,New York York,knox.html
Patch of Land,2014,New York York,patchofland.html
Yodlee,2014,New York York,yodlee.html
eMoney Advisor,2014,New York York,emoneyadvisor.html
Larky,2014,New York York,larky.html
PayItSimple USA Inc.,2014,New York York,payitsimple.html
Zenmonics & Diebold,2014,New York York,zenmonics-diebold.html
EverSafe,2014,New York York,eversafe.html
Linqto,2014,New York York,linqto.html
Powerlytics,2014,New York York,powerlytics.html
EyeLock,2014,New York York,eyelock.html
LOYAL3,2014,New York York,loyal3.html
Rippleshot,2014,New York York,rippleshot.html
