Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Logo,Embed Code,Thumbnail
NICE Systems,2014,New York,"Barak Eilam (CEO & President, NICE Systems), Tom Dziersk (President, NICE Americas), Dafna Gruber (CFO, NICE Systems), Eran Liron (EVP Marketing & Corporate Development, NICE Systems), Miki Migdal (President, Enterprise Group)","David Kostman (Chairman of the Board), Joseph Atsmon, Léo Apotheker, Danny Falk, Yocheved Dvir, Rimon Ben-Shaoul, Yehoshua Ehrlich, Joseph Cowan",,NICE is a publicly traded company on the NASDAQ.,"CISCO, BT, Alcatel-Lucent, Citrix, Amdocs, Genesys, Intel, Microsoft, IBM, NEC",,"<strong>Website: </strong><a href=""http://nice.com/enterprise"" target=""_blank"">nice.com/enterprise</a><br>
                  <strong>Blog: </strong><a href=""http://nice.com/blog/enterprise"" target=""_blank"">nice.com/blog/enterprise</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/NICE_Enterprise"" target=""_blank"">@NICE_Enterprise</a><br>
                      <br>
                               <strong> HQ: </strong>Paramus, NJ <br>
                               <strong>Founded: </strong>January  1986 <br>
                               <strong>Product Demoed: </strong>Real-Time Authentication <br>
                               <strong>Product Launch: </strong>September 2013 <br>
                               <strong>Metrics: </strong>$945M NICE revenues (2013) &amp; 3,700  total employees<br>
                               <strong>Presenters: </strong>Matthew Storm (Director, Innovation &amp; Solutions),
                               Jade Kahn (Solutions Marketing Manager)","                    <strong>How they describe themselves: </strong>NICE (NASDAQ: NICE) is the  worldwide leader of software solutions that deliver strategic insights by  capturing and analyzing mass quantities of structured and unstructured data in  real time from multiple sources. This includes phone calls, mobile apps,  emails, chat, social media, and video. NICE solutions enable organizations to  take the Next Best Action to improve customer experience and business results,  ensure compliance, and fight financial crime. NICE solutions are used by over  25,000 organizations in more than 150 countries, including over 80 of the  Fortune 100 companies.                    <p><strong>How they describe their product/innovation:</strong> Real-Time Authentication strengthens and  streamlines the authentication process by utilizing voice biometrics to authenticate  customers in real time during their conversation with an agent.</p>                    <p>With Real-Time Authentication, contact  centers can:</p>                    <ul type=""disc"">                      <li>Securely       authenticate customers in real time with no customer effort</li>                      <li>Expedite       time to service and free up more time for revenue generating activities</li>                      <li>Passively       enroll the vast majority of their customers seamlessly</li>                      <li>Improve       fraud protection on all enrolled accounts</li>                    </ul>",http://www.finovate.com/fall14vid/nice.html,http://www.finovate.com/fall14vid/logos/NICE.jpg,
SAS Games,2014,New York,"Siobhan Mullen (Founder & CEO), Stephen Scully (Founder & President)","H. Lawrence Clark (Chairman, Edna McConnell Clark Foundation)",,Business Angels with executive management and board positions in financial services and the investment community,"Ripken Baseball, Cal Ripken, Jr., McDonald's Caspers Company",,"<strong>Website: </strong><a href=""http://tivitzcollegesavings.com"" target=""_blank"">tivitzcollegesavings.com</a><br>
                      <br>
                               <strong> HQ: </strong>Cocoa, FL<br>
                               <strong>Founded: </strong>February 2004<br>
                               <strong>Product Demoed: </strong>TiViTz  College $avings Game-a-thon<br>
                               <strong>Product Launch: </strong>November  2014<br>
                               <strong>Metrics: </strong>SAS Games has raised over $5M from angel investors to develop the  various TiViTz products, tournaments, and programs. The company has 10  employees to manage tournaments, events, operations, marketing, and promotions,  as well as product development with our game developers in Europe (Unit9) and  software tool developers based in California and Japan with programmers in  Vietnam (SETA International).<br>
                               <strong>Presenters: </strong>Siobhan Mullen (CEO),
              Patrick Moore (Technology Director)","                    <strong>How they describe themselves: </strong>SAS  Games is the developer of the award-winning TiViTz education-based strategy  games used by more than 400,000 students and 10,000 teachers nationwide. TiViTz  is adaptable to multiple platforms, themes, subjects, skill levels, and  languages. The TiViTz games have proved effective in engaging kids and  preparing them for exciting TiViTz Tournaments. SAS Games has partnered with  Cal Ripken, Jr. and Ripken Baseball to develop TiViTz Tournaments nationwide  hosted by Major League Baseball teams and with McDonald's to implement TiViTz  Tuesdays starting in Florida. The company has now developed a fully automated,  easy-to-use, patent-pending, game-based fundraising tool that helps children  raise significant funds for their college savings accounts.                    <p><strong>How they describe their product/innovation:</strong> The TiViTz  College $avings Game-a-thon is a market disruptive tool that complements  existing financial savings vehicles and provides a solution for families to  offset potential student loan debt and help cover the cost of higher education.  The Game-a-thon (where students solicit pledges online from friends and family  for playing TiViTz games) is similar to a Walk-a-thon fundraiser, only fully automated  from pledge solicitation to fund deposit into a savings vehicle.  The Game-a-thon is positioned to fundamentally  change the way families think about affording college and to significantly  empower children to take responsibility for and contribute to their own  advanced education... all while improving their math skills and financial  literacy.</p>",http://www.finovate.com/fall14vid/tivitzcollegesavings.html,http://www.finovate.com/fall14vid/logos/SASGames.jpg,
Ayasdi,2014,New York,"Gurjeet Singh (CEO & Co-Founder), Gunnar Carlsson (President & Co-Founder)","Steve Harrick (General Partner, Institutional Venture Partners), Todd Rulon-Miller (Venture Advisor), Ann Miura-Ko (General Partner, FLOODGATE)",,"Citi Ventures, FLOODGATE, Institutional Venture Partners (IVP), GE Ventures, Khosla Ventures, Michael Ovitz",,"General Electric (GE), Citigroup, Anadarko, Boehringer Ingelheim, the University of California San Francisco (UCSF), Mount Sinai Hospital","<strong>Website: </strong><a href=""http://ayasdi.com"" target=""_blank"">ayasdi.com</a><br>
                  <strong>Blog: </strong><a href=""http://ayasdi.com/blog"" target=""_blank"">ayasdi.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Ayasdi"" target=""_blank"">@Ayasdi</a><br>
                      <br>
                               <strong> HQ:</strong> Menlo Park, CA<br>
                               <strong>Founded: </strong>June 2008 <br>
                               <strong>Product Demoed: </strong>Ayasdi  Finance <br>
                      <strong>Product Launch: </strong>October 2014<br>
                      <strong>Presenters: </strong>Michael Woods (Principal Data Strategist), 
              Max Song (Data Scientist)","                    <strong>How they describe themselves: </strong>Ayasdi is transforming how the world  uses data to solve complex problems by automatically discovering and  operationalizing insights from complex datasets. Founded in 2008 after a decade  of DARPA and NSF funded research at Stanford, the Ayasdi Platform executes and  merges the results of hundreds of machine learning algorithms using Topological  Data Analysis (TDA), enabling users to explore their data within interactive  and intuitive applications. Funded by Khosla Ventures, Institutional Venture  Partners (IVP), GE Ventures, Citi Ventures, and FLOODGATE, Ayasdi’s customers  include General Electric (GE), Citigroup, Anadarko, Boehringer Ingelheim, the  University of California San Francisco (UCSF), and Mount Sinai Hospital.                    <p><strong>How they describe their product/innovation:</strong> Ayasdi's finance application allows  capital markets businesses to automatically identify persistent relationships  between market conditions and client trading behaviors and generate alerts  based on this dynamic information. In addition, this application utilizes  Ayasdi’s novel mathematical framework to predict model failure and systematically  update the model in states where it fails.</p>                    <p>This application leverages  Ayasdi’s powerful platform, which integrates machine learning algorithms within  a topological framework. This platform gives the application its ability to  generate results that take several types of data into account, including, but  not limited to: social data, numeric data, and the macro economy.</p>",http://www.finovate.com/fall14vid/ayasdi.html,http://www.finovate.com/fall14vid/logos/Ayasdi.jpg,
Patch of Land,2014,New York,"Carlo Tabibi (CEO & Co-Founder), Brian Fritton (CTO & Co-Founder), Jason Fritton (COO & Co-Founder), AdaPia D’Errico (CMO)",,"Patrick Gannon (Partner, Archimedes Labs), Daniel Zwirn (Founder & Backer, 100 specialty finance-oriented businesses)",Initial seed funding from Carlo Tabibi (CEO),"Wealthforge, Crowdbouncer, Crowdnetic, National REIA","Accredited investors, family offices, and hedge funds","<strong>Website: </strong><a href=""http://patchofland.com"" target=""_blank"">patchofland.com</a><br>
                  <strong>Blog: </strong><a href=""http://patchofland.com/blog"" target=""_blank"">patchofland.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/PatchOfLand"" target=""_blank"">@PatchOfLand</a><br>
                      <br>
                               <strong> HQ: </strong>Los Angeles, CA<br>
                               <strong>Founded: </strong>February 2013<br>
                               <strong>Product Demoed: </strong>Patch of  Land<br>
                               <strong>Product Launch: </strong>October 2013<br>
                      <strong>Metrics: </strong>10<strong> </strong>employees,  2,500 investors, 279 loans in the pipeline (212% QonQ growth), average loan  size $240,000, YTD 24 loans from 6 states totaling $5.2M, all funded by  investors online<br>
                      <strong>Presenters: </strong>AdaPia d'Errico (CMO), Brian Fritton (CTO &amp;   Co-Founder)","                    <strong>How they describe themselves: </strong>Patch of Land is a Peer-to-Real-Estate  (P2RE) lending marketplace that matches accredited and institutional investors  seeking high-yield, short-term, asset-collateralized investments to borrowers  seeking more timely and consistent sources of funding for rehabbing properties  across America. Patch of Land’s goal is to solve the problem of inefficient,  fragmented, and opaque real estate private lending by using technology and  data-driven processes to create transparency and to efficiently underwrite  projects for borrowers with real estate projects that are routinely bypassed by  traditional lenders.                    <p><strong>How they describe their product/innovation:</strong> We are developing a real-time system  that pulls data from multiple sources including major credit reporting  agencies. This disparate collection of data will be scientifically  conglomerated into proprietary information models and risk analysis summaries.  The information along with trained process will allow us to preapprove a wide  variety of loan requests and extend automatic terms to existing borrowers for  new projects. This information will be used by our underwriters along with a  proprietary scoring system for increased efficiency in decision making on  lending. Electronic documents can immediately be made available to the borrower  for signing and funds wired automatically.</p>",http://www.finovate.com/fall14vid/patchofland.html,http://www.finovate.com/fall14vid/logos/PatchofLand.jpg,
Minetta Brook,2014,New York,"Deepak Bharadwaj (CEO), Prabhu Venkatesh (Chief Scientist), Viplav Nigam (VP Engineering)",,"James Reed (Former Chairman & CEO, Mizuho Securities), Andy Frey (President, Seattle Security Traders Association), Nenad Yashruthi (Head Trader, Freestone Capital)","James Reed (Former Chairman & CEO, Mizuho Securities), Rex Wardlaw (Former Senior MD, First Republic Investment Management), Naya Ventures, TIE Angel Group Seattle, Kernel Capital, Keiretsu Forum Northwest","Bloomberg, Moreover Technologies, Six Financial","Sales Traders, Portfolio Managers, Hedge Fund Managers, Buy-side Traders, Research Analysts","<strong>Website: </strong><a href=""http://knewsapp.com"" target=""_blank"">knewsapp.com</a><br>
                  <strong>Blog: </strong><a href=""http://knewsapp.com/blog"" target=""_blank"">knewsapp.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/knewsapp"" target=""_blank"">@knewsapp</a><br>
                      <br>
                               <strong> HQ: </strong> Seattle, WA<br>
                               <strong>Founded: </strong>September 2011<br>
                               <strong>Product Demoed: </strong>KNEWSAPP<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>$2.4M in funding, 10 employees, over 100 firms in trial &amp; beta, 40,000+  news sources<br>
                               <strong>Presenters: </strong>Deepak Bharadwaj (CEO &amp; Founder),
                               Viplav Nigam (VP Engineering)","                    <strong>How they describe themselves: </strong>Minetta  Brook is a big data intelligence augmentation company that has developed and  patented a linguistics-based, high-speed, content-discovery technology. This  technology, called KRANIUM™, auto discovers key news elements from millions of  news stories and tweets in real time. Minetta Brook has also developed  proprietary algorithms that allow us to score and rank these news elements  based on connections across the entirety of news. Our partnerships with leading  content providers gives us access to quality content from 40,000+ news sources.  Minetta Brook’s first suite of products is targeted at revolutionizing news  discovery in the world of financial trading and investment.                    <p><strong>How they describe their product/innovation:</strong> Minetta  Brook is launching a web application version of KNEWSAPP, a real-time news  scoring and discovery application that is currently available only on the  Bloomberg Professional™ platform. KNEWSAPP allows trading and investment  professionals to take advantage of news related market inefficiencies by  surfacing tickers, topics, and stories that are currently developing in the  news. This web based product democratizes access to our ground-breaking,  real-time, content-discovery technology and to our proprietary scores that lets  you surface developing stories from across the entirety of news.</p>",http://www.finovate.com/fall14vid/knewsapp.html,http://www.finovate.com/fall14vid/logos/MinettaBrook.jpg,
TickSmith,2014,New York,"Francis Wenzel (CEO), Marc-André Hétu (CTO), David Côté (CIO), Tony Bussieres (SVP Dev.), Linda Biagi (Partner Global Sales)",,,,SIX Financial Information,"Chi-X Canada, SciVantage, large hedge funds","<strong>Website: </strong><a href=""http://ticksmith.com"" target=""_blank"">ticksmith.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/TickSmith"" target=""_blank"">@TickSmith</a><br>
                      <br>
                               <strong> HQ: </strong> Montreal, Quebec, Canada<br>
                               <strong>Founded: </strong>November 2012<br>
                               <strong>Product Demoed: </strong>TickVault  &amp; FIXVault Big Data Platforms for Financial Data <br>
                               <strong>Product Launch: </strong>August  2013<br>
                      <strong>Metrics: </strong>Over a Petabyte of financial data under  management<strong><br>
Presenters: </strong>Francis Wenzel (CEO),
David Côté (CIO)","                    <strong>How they describe themselves: </strong>TickSmith is a  Montreal-based fintech company that was founded by seasoned financial  technology experts who saw a need for better data management solutions.  TickSmith has built the first commercial platform for financial big data,  providing financial institutions untold new opportunities to work with large  quantities of financial data.                    <p><strong>How they describe their product/innovation:</strong> TickSmith is presenting  its TickVault and FIXVault financial big data platforms. TickSmith’s platforms  provide specific solutions to participants in the brokerage and trading  ecosystem, from exchanges to financial institutions, vendors, and regulators.  Offered as cloud services and managed platforms, these solutions are disrupting  financial data management practices and providing new opportunities to exploit  financial data. TickSmith’s customers and partners use these platforms as data  distribution portals, add ons to trading networks, management and analytics  tools, and in compliance applications.</p>",http://www.finovate.com/fall14vid/ticksmith.html,http://www.finovate.com/fall14vid/logos/TickSmith.jpg,
Behalf,2014,New York,"Benjy Feinberg (Co-Founder & CEO), Shai Feinberg (Co-Founder & VP Sales), Meeka Berman (VP Product), Osher Frimerman (CTO), Russell Weiss (VP Risk Management)","Shmil Levy (Sequoia), Santo Politi (Spark Capital), Phillip Riese (Former President, American Express & Chairman, ZOPA)",,"Shmil Levy, Partner (Sequoia), Santo Politi (Partner, Spark Capital)",,,"<strong>Website: </strong><a href=""http://behalf.com"" target=""_blank"">behalf.com</a><br>
                      <br>
                               <strong> HQ:</strong> New York, NY<br>
                               <strong>Founded: </strong>2011 <br>
                               <strong>Product Demoed: </strong>Vendor  Platform <br>
                      <strong>Product Launch: </strong>August  2014<br>
                               <strong>Metrics: </strong>$10M,  25 employees<br>
                               <strong>Presenters: </strong>Benjy Feinberg (CEO), Andrew   Abshere (Director, Product), Meeka Metzger (VP, Product)","                    <strong>How they describe themselves: </strong>Behalf is a smart, new way for small  businesses to finance almost any purchase, fast and fairly.                    <p>It starts with our proprietary method of  credit scoring, which looks at both the business and its owner in a new way,  enabling us to bring much-needed short-term purchase financing to more SMBs.</p>                    <p>We pay vendors directly on behalf of  SMBs, and take care of collecting repayments on behalf of the vendor. An  intelligent twist on the traditional model, it's better and more efficient for  both parties.</p>                    <p>No matter where your business is on its  growth curve, Behalf is the smartest way to pay.</p>                    <p><strong>How they describe their product/innovation:</strong> We are showing the value of our platform  to vendors through a simple demonstration of how easy it is for a vendor to preapprove  his customers, onboard them, and offer them the Behalf credit line they need.</p>                    <p>Next, we are demonstrating  Behalf’s value for the SMB, including how our flexible credit line increases  over time as the SMB demonstrates good credit behavior. We are showing all of  this through the view of the customer dashboard and what's possible there. </p>",http://www.finovate.com/fall14vid/behalf.html,http://www.finovate.com/fall14vid/logos/Behalf.jpg,
Kapitall,2014,New York,,,"Glenn Stevens (Gain Capital), Cathi Raffaeli (Linden Ventures), Oksana Malysheva (Linden Ventures), Jarrett Lilien (Kapitall & Bendigo Partners)",,,,"<strong>Website: </strong><a href=""http://kapitall.com"" target=""_blank"">kapitall.com</a><br>
                  <strong>Blog: </strong><a href=""http://backstage.kapitall.com"" target=""_blank"">backstage.kapitall.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Kapitall"" target=""_blank"">@Kapitall</a><br>
                      <br>
                               <strong> HQ: </strong>New  York, NY <br>
                               <strong>Founded: </strong>March 2008<br>
                               <strong>Product Demoed: </strong>Kapitall  Tournament &amp; Pocket<br>
                               <strong>Product Launch: </strong>September  2014<br>
                      <strong>Metrics: </strong>$25M raised<br>
                      <strong>Presenters: </strong>Gaspard De Dreuzy (Co-Founder),
                      Antonio Reyes (Head of Development)","                    <strong>How they describe themselves: </strong>Kapitall  is the fusion of investing and gaming. Its mission is to make the world of  investing educational, fun, and rewarding. Kapitall liberates financial markets  from out-of-date trading tools by providing users with a gamified trading  platform. Kapitall’s do-it-yourself investment platform takes inspiration from  video games to help anyone, from new investors to those looking to sharpen  their investing skills, practice, compete, and make smarter trades in the stock  market.                    <p><strong>How they describe their product/innovation</strong>: Kapitall  is launching its mobile trading application as well as its latest virtual stock  tournament game at FinovateFall 2014. For iOS devices, Kapitall mobile users  will have the investing and gaming functionality at their fingertips. Practice,  tournament, and live brokerage portfolios will be available to help members of  all ages and investing skill sets to learn, play, and invest.</p>",http://www.finovate.com/fall14vid/kapitall.html,http://www.finovate.com/fall14vid/logos/Kapitall.jpg,
BlueVine,2014,New York,"Eyal Lifshitz (CEO), Nir Klar (CTO), Moti Shatner (CRO), Edward Castaño (VP Operations)",,,"Lightspeed Venture Partners, Greylock IL, Correlation Ventures, Kima Ventures",,,"<strong>Website: </strong><a href=""http://bluevine.com"" target=""_blank"">bluevine.com</a><br>
                  <strong>Blog: </strong><a href=""http://bluevine.com/blog"" target=""_blank"">bluevine.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/BlueVineCapital"" target=""_blank"">@BlueVineCapital</a><br>
                      <br>
                               <strong> HQ:</strong> Palo Alto, CA<br>
                               <strong>Founded: </strong>July 2013 <br>
                               <strong>Product Demoed: </strong>BlueVine <br>
                               <strong>Product Launch: </strong>March 2014 <br>
                               <strong>Metrics: </strong>$5.5M  raised, 15 employees<br>
                               <strong>Presenters: </strong>Eyal Lifshitz (CEO), Edward   Castaño (VP Operations)","                    <strong>How they describe themselves: </strong>Lumpy cash flow and long payment cycles  often put a strain on SMB's working capital. We started BlueVine so that small  businesses don’t have to worry about making payroll or being able to buy more  inventory. We provide a quick, simple, online solution to let businesses access  the capital they need, when they need it.                    <p><strong>How they describe their product/innovation:</strong> BlueVine gives small businesses an  advance on their invoices that they can use to cover expenses or grow their  business. We integrate with the most popular cloud accounting software so SMBs  can request funds with a click of a button. There is no cost to sign up, no  minimum volume requirements, and no termination fees. We offer businesses both  discretion over their customer relationships, and control over their financing  needs. BlueVine works with B2B companies with  invoice terms of 15 to 90 days and funds invoices with a face value of $500 or  more. Customer credit lines typically start between $5,000 and $15,000 and can  go up $50,000. Funds can be available as fast as 24 hours, and sooner for  returning customers.</p>",http://www.finovate.com/fall14vid/bluevine.html,http://www.finovate.com/fall14vid/logos/BlueVine.jpg,
iQuantifi,2014,New York,"Tom White (Founder & CEO), Karen White (Co-Founder & Chief Product Officer), Jim Siegienski (CTO), Brian Evans (CMO)",,,,MoneyDesktop,,"<strong>Website: </strong><a href=""http://iquantifi.com"" target=""_blank"">iquantifi.com</a><br>
                  <strong>Blog: </strong><a href=""http://iquantifi.com/blog"" target=""_blank"">iquantifi.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/iquantifi"" target=""_blank"">@iquantifi</a><br>
                      <br>
                               <strong> HQ: </strong> Nashville,  TN <br>
                               <strong>Founded: </strong>June 2011<br>
                               <strong>Product Demoed: </strong>""Cashfinder""  and ""What if""<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics:</strong> Raised $1.1M  to date, 7 employees, over 25% of site traffic converted to users<strong></strong><br>
                               <strong>Presenters: </strong>Tom White (CEO &amp; Founder),
                               Karen White (CPO &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>iQuantifi is  a virtual financial advisor that helps millennials and young families take  control of their finances and achieve their goals. We are the first true  “RoboAdvisor” that provides comprehensive, personalized advice based on the  goals and resources of the user without the need to interact with a live  person. Our proprietary system provides each user with a personalized financial  plan and includes step-by-step advice to achieve each goal, including the type  and allocation of financial products that are needed.                    <p><strong>How they describe their product/innovation</strong>: iQuantifi is introducing two new features to make  it even easier for users to create their own financial plan and achieve their  goals. When a user does not have enough money to fund all of their goals, our  “Cashfinder” analyzes their budget and recommends which expenses a user can  reduce to cover the monthly shortage. Our “What if” feature allows users to  adjust their goals to see the immediate impact on their financial plan. By  comparing two different paths to goal achievement, a user can determine which  plan best fits their lifestyle.</p>",http://www.finovate.com/fall14vid/iquantifi.html,http://www.finovate.com/fall14vid/logos/iQuantifi.jpg,http://embed.wistia.com/deliveries/9402345d3632fcd636943b22b3b12922f4825feb.jpg
