Video Show,Show year,Location,url
MasterCard,2014,FinDEVr San Francisco,mastercard.html
Avoka,2014,FinDEVr San Francisco,avoka.html
BehavioSec,2014,FinDEVr San Francisco,behaviosec.html
ModoPayments,2014,FinDEVr San Francisco,modo.html
TD Ameritrade Institutional,2014,FinDEVr San Francisco,td-ameritrade.html
Eshta,2014,FinDEVr San Francisco,eshtapay.html
Bluefin Payment Systems,2014,FinDEVr San Francisco,bluefin.html
OnDeck,2014,FinDEVr San Francisco,ondeck.html
Visa,2014,FinDEVr San Francisco,visa.html
EVO Snap*,2014,FinDEVr San Francisco,evo-snap.html
CardFlight,2014,FinDEVr San Francisco,cardflight.html
Paradigm4,2014,FinDEVr San Francisco,paradigm4.html
Yodlee,2014,FinDEVr San Francisco,yodlee.html
Financial Apps,2014,FinDEVr San Francisco,financialapps.html
Cloud Lending,2014,FinDEVr San Francisco,cloudlending.html
PayNearMe,2014,FinDEVr San Francisco,paynearme.html
InComm/Cashtie,2014,FinDEVr San Francisco,incomm.html
Concur,2014,FinDEVr San Francisco,concur.html
Personal Capital,2014,FinDEVr San Francisco,personalcapital.html
Intuit Partner Platform,2014,FinDEVr San Francisco,intuit.html
CopSonic,2014,FinDEVr San Francisco,copsonic.html
StockTwits,2014,FinDEVr San Francisco,stocktwits.html
Forte Payment Systems,2014,FinDEVr San Francisco,forte.html
Xero,2014,FinDEVr San Francisco,xero.html
Finicity,2014,FinDEVr San Francisco,finicity.html
Tradier,2014,FinDEVr San Francisco,tradier.html
PayPal & Braintree,2014,FinDEVr San Francisco,paypal.html
Xignite,2014,FinDEVr San Francisco,xignite.html
Mifos Initiative,2014,FinDEVr San Francisco,mifos.html
BCL Technologies,2014,FinDEVr San Francisco,bcl.html
Google Cloud Platform,2014,FinDEVr San Francisco,google.html
PayStand,2014,FinDEVr San Francisco,paystand.html
Thinknum,2014,FinDEVr San Francisco,thinknum.html
Bionym,2014,FinDEVr San Francisco,nymi.html
GreenAddressIT,2014,FinDEVr San Francisco,greenaddress.html
Plaid,2014,FinDEVr San Francisco,plaid.html
Trulioo,2014,FinDEVr San Francisco,trulioo.html
Blockchain,2014,FinDEVr San Francisco,blockchain.html
Kiind,2014,FinDEVr San Francisco,kiind.html
Prudena,2014,FinDEVr San Francisco,prudena.html
TxPUSH,2014,FinDEVr San Francisco,txpush.html
CrowdCurity,2014,FinDEVr San Francisco,crowdcurity.html
Knox Payments,2014,FinDEVr San Francisco,knox.html
Sekur Me,2014,FinDEVr San Francisco,sekur.html
Entersekt,2014,FinDEVr San Francisco,entersekt.html
Morpheus Aiolos,2014,FinDEVr San Francisco,morpheus-aiolos.html
SimplyTapp,2014,FinDEVr San Francisco,simplytapp.html
