Video Show,Show year,Location,url
Artivest,2014,FinovateSpring,artivest.html
FlexScore,2014,FinovateSpring,flexscore.html
NICE Systems,2014,FinovateSpring,nice.html
Stockpile,2014,FinovateSpring,stockpile.html
Avoka,2014,FinovateSpring,avoka.html
ID.me,2014,FinovateSpring,id.html
OnBudget,2014,FinovateSpring,onbudget.html
StrategyCorps,2014,FinovateSpring,strategycorps.html
BodeTree,2014,FinovateSpring,bodetree.html
Insuritas,2014,FinovateSpring,insuritas.html
Ondot Systems,2014,FinovateSpring,ondotsystems.html
Sureify,2014,FinovateSpring,sureify.html
ChiaraMail,2014,FinovateSpring,chiaramail.html
IntelliResponse,2014,FinovateSpring,intelliresponse.html
Pellucid Analytics,2014,FinovateSpring,pellucid.html
Tactile Finance,2014,FinovateSpring,tactilefinance.html
Coinbase,2014,FinovateSpring,coinbase.html
Interactions,2014,FinovateSpring,interactions.html
Personal Capital,2014,FinovateSpring,personalcapital.html
TD Ameritrade & LikeFolio,2014,FinovateSpring,tdameritrade_likefolio.html
CREALOGIX,2014,FinovateSpring,crealogix.html
Jumio,2014,FinovateSpring,jumio.html
Pixeliris,2014,FinovateSpring,pixeliris.html
TextPower,2014,FinovateSpring,textpower.html
CUneXus,2014,FinovateSpring,cunexus.html
Kofax,2014,FinovateSpring,kofax.html
PrivatBank,2014,FinovateSpring,privatbank.html
True Link,2014,FinovateSpring,truelink.html
D3 Banking,2014,FinovateSpring,d3banking.html
Kreditech,2014,FinovateSpring,kreditech.html
Qapital,2014,FinovateSpring,qapital.html
Venovate,2014,FinovateSpring,venovate.html
Dealstruck,2014,FinovateSpring,dealstruck.html
LendingRobot,2014,FinovateSpring,lendingrobot.html
Quisk,2014,FinovateSpring,quisk.html
Verde International,2014,FinovateSpring,verde.html
defi SOLUTIONS,2014,FinovateSpring,defisolutions.html
LendingTree,2014,FinovateSpring,lendingtree.html
Radius,2014,FinovateSpring,radius.html
Visible Equity,2014,FinovateSpring,visibleequity.html
Digital Insight,2014,FinovateSpring,digitalinsight.html
LendUp,2014,FinovateSpring,lendup.html
Realty Mogul,2014,FinovateSpring,realtymogul.html
Vorstack,2014,FinovateSpring,vorstack.html
Digital Retail Apps,2014,FinovateSpring,digitalretailapps.html
Loop,2014,FinovateSpring,looppay.html
Red Giant,2014,FinovateSpring,redgiantmobile.html
WePay,2014,FinovateSpring,wepay.html
Encap Security,2014,FinovateSpring,encapsecurity.html
LOYAL3,2014,FinovateSpring,loyal3.html
Rippleshot,2014,FinovateSpring,rippleshot.html
Wipit,2014,FinovateSpring,wipit.html
Endeavour,2014,FinovateSpring,endeavour.html
Market Prophit,2014,FinovateSpring,marketprophit.html
Roostify,2014,FinovateSpring,roostify.html
Yseop,2014,FinovateSpring,yseop.html
EyeVerify,2014,FinovateSpring,eyeverify.html
Motif Investing,2014,FinovateSpring,motifinvesting.html
SaveUp,2014,FinovateSpring,saveup.html
ZenPayroll,2014,FinovateSpring,zenpayroll.html
FinBuddy,2014,FinovateSpring,finbuddy.html
MShift,2014,FinovateSpring,mshift.html
SmartAsset,2014,FinovateSpring,smartasset.html
Zumigo,2014,FinovateSpring,zumigo.html
Fiserv,2014,FinovateSpring,fiserv.html
Nearex,2014,FinovateSpring,nearex.html
Spreedly,2014,FinovateSpring,spreedly.html
