Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Image
BodeTree,2014,Spring,"Matt Ankrum (Chairman & Co-Founder), Christopher Myers (CEO & Co-Founder), JT Archer (COO)",,,Greenline Ventures,"Intuit, Xero","BodeTree has approximately 50,000 unique small business users and 13 funding partners.","<strong>Website: </strong><a href=""http://bodetree.com"" target=""_blank"">bodetree.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.bodetree.com"" target=""_blank"">blog.bodetree.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@bodetree"" target=""_blank"">@bodetree</a><br>
                      <br>
                               <strong> HQ:</strong> Denver, CO<br>
                               <strong>Founded: </strong>December 2010<br>
                               <strong>Product Demoed: </strong>BodeTree<br>
                               <strong>Product Launch: </strong>October 2013<br>
                               <strong>Metrics: </strong>BodeTree has raised approximately $4.5M  to date. Our investors include high net worth investors (including a former  presidential cabinet member, head of small business practice at a large NYC  private equity shop and CEO of a Fortune 500 company) and Greenline Ventures. BodeTree has  12 full-time equivalent employees. As of April 2014, BodeTree is on track to  have approximately 50,000 small business users and 13 funding partners.<br>
                  <strong>Presenters: </strong>Christopher Myers (CEO), 
                  JT Archer (COO)","                    <strong>How they describe themselves: </strong>BodeTree  empowers small business owners and their banking partners with the right  information at the right time to make the right decisions and achieve their  goals.                     <p><strong>How they describe their product/innovation:</strong> BodeTree is  a very powerful two-sided platform that serves small businesses and their  banking partners. On one side, the system enables small business owners to  better manage their businesses and access the capital they need. On the other  side, it enables financial institutions to deliver a substantially improved  customer experience and get the requisite (and reliable) data they need to  profitably serve the small business segment.</p>",http://www.finovate.com/spring14vid/bodetree.html,http://www.finovate.com/spring14vid/logos/BodeTree.jpg
Roostify,2014,Spring,"Rajesh Bhat (CEO), Harry Cheung (CTO), Jonathan Kirst (Lead Engineer)","Rajesh Bhat (CEO), Harry Cheung (CTO)","Iyad Darcazallie (CEO, Derceto), Scott Rogers (Partner, Rutan & Tucker), John Barr (EVP, Valley Community Bank)","American Capital Corporation, private investors","American Capital Corporation, Xetus, FormFree, Big Purple Dot, Roadrunner",,"<strong>Website: </strong><a href=""http://roostify.com"" target=""_blank"">roostify.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.roostify.com"" target=""_blank"">blog.roostify.com</a><a href=""http://blog.roostify.com"" target=""_blank""></a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@roostify"" target=""_blank"">@roostify</a><br>
                      <br>
                               <strong> HQ: </strong>Burlingame,  CA <br>
                               <strong>Founded: </strong>March 2013<br>
                               <strong>Product Demoed: </strong>Roostify<br>
                               <strong>Product Launch: </strong>January 2014<br>
                  <strong>Presenters: </strong>Rajesh Bhat (CEO &amp; Co-Founder),
                  Jonathan Kirst (Lead Engineer &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>By  accelerating and demystifying the home loan and closing processes and increasing  the accountability of everyone involved, Roostify helps lenders process loans  faster and reduce risk while creating a better, less stressful experience for  people who are buying homes.                    <p>Roostify  was founded by three technologists frustrated with their individual home buying  and re-financing experiences who believed there was a more efficient and open  way to complete transactions. Drawing on the expertise of real estate and  mortgage banking veterans, Roostify provides a new web and mobile service that  benefits agents, lenders, and home buyers. Roostify is headquartered in San  Francisco, California and is backed by private investors.</p>                    <p><strong>How they describe their product/innovation:</strong> Roostify  offers a web and mobile service designed to enhance home financing, making it  easier for buyers and lenders to navigate the frustrating and time-consuming  process to apply for and close a mortgage. Developed by technology, real estate,  and mortgage banking experts, Roostify’s secure interface allows borrowers to  easily apply for a mortgage and all parties involved to share and track  information, documents, and transactions seamlessly – leading to a faster and smoother  mortgage closing.</p>",http://www.finovate.com/spring14vid/roostify.html,http://www.finovate.com/spring14vid/logos/Roostify.jpg
Motif Investing,2014,Spring,"Hardeep Walia (CEO & Co-Founder), Connie Kuhl (CCO & SVP Customer Services and Operations), Daryl Puryear (VP Engineering), Jonathan Surridge (VP Finance & Deputy CFO), Ross Spiller (VP Product), Tuhin Ghosh (VP Investment Products and Analytics)","Hardeep Walia (CEO & Co-Founder, Motif Investing), Arthur Levitt (Former Chairman, Securities and Exchange Commission), John Connors (Partner, Ignition Partners), Sallie Krawcheck (Former Executive, Bank of America & Citigroup), Charles Moldow (General Partner, Foundation Capital), Sergio Monsalve (Partner, Norwest Venture Partners), Darren Cohen (Board Observer, Goldman Sachs)","Jerry Gramaglia (Former CMO, CCO & President, E*Trade), Norman Judah (CTO, Microsoft Services), Aaref Hilaly (Serial Entrepreneur), Kartik Raghavan (Sr. Advisor, Gates Foundation), Denmark West (Former Digital Media President, BET Networks), Caine Moss (Partner, Goodwin Procter)","Foundation Capital, Goldman Sachs, Ignition Partners, Norwest Venture Partners",,"Retail, Investment Advisors, Brands","<strong>Website: </strong><a href=""http://motifinvesting.com"" target=""_blank"">motifinvesting.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@MotifInvesting"" target=""_blank"">@MotifInvesting</a><br>
                      <br>
                               <strong> HQ: </strong>San Mateo, CA<br>
                               <strong>Founded:</strong> June 2010<br>
                               <strong>Product  Demoed</strong>: The Motif  Advisor Platform transforms the way advisors conduct business and interact with  clients.<br>
                               <strong>Product  Launch:</strong> Beta launch date  February 3, 2014<br>
                               <strong>Metrics:</strong> Motif Investing has raised $51M to date  and has 52 FTE employees.<br>
                  <strong>Presenters: </strong>Hardeep Walia (CEO &amp; Co-Founder),
                  Ramak Fazeli (Manager of Advisor Services &amp; Sales)","                    <strong>How they describe themselves: </strong>Motif Investing is an  online broker that is changing the face of investing. The company’s simple, yet  powerful platform allows individuals and advisors to invest in collections of  stocks and ETFs centered around ideas or investment strategies. A motif is a  basket of up to 30 thematically weighted securities that trades real time with  a single click for only $9.95. Customers can buy pre-built motifs, customize  them, or create new motifs. Motif Investing is a registered broker dealer and a  member of SIPC.                     <p><strong>How  they describe their product/innovation:</strong> Motif Investing is debuting a new groundbreaking platform  for investment advisors that will transform the way they conduct business and  interact with clients. The Motif Advisor Platform dramatically streamlines how  advisors build, monitor, and rebalance model portfolios around various asset  classes so they can provide the highest level of service to clients. They will  also have the ability to share market insights and portfolio updates with their  clients through user-friendly social technology. </p>",http://www.finovate.com/spring14vid/motifinvesting.html,http://www.finovate.com/spring14vid/logos/MotifInvesting.jpg
Verde International,2014,Spring,"Patrick Reily (CEO & Co-Founder), Jason Daniels (COO & Co-Founder)",,,,,,"<strong>Website: </strong><a href=""http://verdeadvisor.com"" target=""_blank"">verdeadvisor.com</a><br>
                      <br>
                               <strong> HQ: </strong>Atlanta, GA<br>
                               <strong>Founded: </strong>June 2006<br>
                               <strong>Product Demoed: </strong>Verde Aurora™ (next-gen automated loan underwriting optimization<strong> </strong>engine)<br>
                      <strong>Product Launch: </strong>April 2014<br>
                  <strong>Presenters: </strong>Patrick Reily (CEO &amp; Co-Founder),
                  Jason Daniels (COO) ","                    <strong>How they describe themselves: </strong>Industry  canon states that every loan decision is a credit decision, but Verde  recognizes that it’s much more than that. We see loan decisions as economic  decisions and we’ve designed Verde Aurora™ not only to look at risk, but also a  comprehensive set of customer behaviors and interactions. It arrives at the  very best set of loan terms – balancing the needs of customers, shareholders,  lenders, dealers, regulators, and all other stakeholders. We use  state-of-the-art behavioral models, married with advanced financial analytics  and cash-flow analyses, as inputs into a decision engine capable of finding the  best solution of 1.2e<span class=""super"">19</span> possibilities, instantly.                    <p><strong>How they describe their product/innovation:</strong> Verde  Aurora™ sets itself apart from the limited decision-making capability of  today’s loan origination systems. You need more than a collection of filters  and screens to guide a manual decision. Verde Aurora™ uses advanced behavioral  models and projected cash flows to automate offers with rare staff involvement.  Each loan is designed to maximize the opportunity for both shareholders and  customers. This solution is equally effective across the full credit spectrum  and is scalable for lenders of all sizes. In subprime space, it routinely  increases approval rates fourfold, and in superprime, it more than doubles  average ROA’s.</p>",http://www.finovate.com/spring14vid/verde.html,http://www.finovate.com/spring14vid/logos/VerdeInternational.jpg
Sureify,2014,Spring,"Dustin Yoder (CEO), Venkatesh Tadinada (CTO), Chris Cichon (CMO)",,,,,,"<strong>Website: </strong><a href=""http://sureify.com"" target=""_blank"">sureify.com</a><br>
                  <strong>Blog:</strong> <a href=""http://sureify.com/blog"" target=""_blank"">sureify.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@sureify"" target=""_blank"">@sureify</a><br>
                      <br>
                               <strong> HQ: </strong>San Jose, CA<br>
                               <strong>Founded:</strong> March 2012<br>
                               <strong>Product Demoed:</strong> Sureify - Life Insurance Education<br>
                               <strong>Product Launch:</strong> April 2014<br>
                  <strong>Presenters: </strong>Dustin Yoder (CEO &amp; Head of Product),
                  Chris Cichon (CMO)","                    <strong>How they describe themselves: </strong>Sureify is the  only unbiased, third-party source for life insurance education online. We focus  on answering consumers’ questions using videos, graphics, and  simple-to-understand verbiage. We're building a place where Millennials can  learn, compare, and understand their life insurance options.<br>                        <br>                      There are over 10 million life insurance policies sold in the US every year.  Our own data, as well as industry data, shows that today's consumer is going  online to research and check facts given by industry professionals. Sureify  aims to be the trusted resource for both consumers and industry professionals  alike.                      <p><strong>How they describe their product/innovation:</strong> Sureify explains life  insurance in a very simple way, gives consumers a free personal plan, and helps  consumers take the next step in getting their life insured.<br>                        <br>                      Sureify uses straightforward visuals, text, and videos to explain life  insurance in everyday language. Whether a consumer prefers to read, watch a  video, or just look at an educational image − Sureify enables consumers to  learn the way that they learn best.<br>  <br>                      A big part of life insurance is understanding how much coverage you need.  Within a few clicks, Sureify gives consumers a personal needs assessment,  visually shows common life insurance options to explore, and provides a free  personal plan to email or download.<br>  <br>                      Upon understanding what type of insurance you need and how much is desired, Sureify  provides consumers with multiple options for next steps and allows them to take  practical steps to get covered.</p>",http://www.finovate.com/spring14vid/sureify.html,http://www.finovate.com/spring14vid/logos/Sureify.jpg
FlexScore,2014,Spring,"Jason Gordo (CEO), Jeff Burrow (President), Melroy Saldanha (CTO), Adam Zagaris (JD)",,,,,,"<strong>Website: </strong><a href=""http://flexscore.com"" target=""_blank"">flexscore.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@myflexscore"" target=""_blank"">@myflexscore</a><br>
                      <br>
                               <strong> HQ: </strong>San  Francisco, CA<br>
                      <strong>Founded:</strong> April 2012<br>
                               <strong>Product Demoed:</strong> FlexScore Advisor Version<br>
                               <strong>Product Launch:</strong> April 2014<br>
                               <strong>Metrics:</strong> $2.5M raised to date, 7 employees <br>
                  <strong>Presenters: </strong>Jason Gordo (CEO),
                  Jeff Burrow (COO &amp; President)","                    <strong>How they describe themselves: </strong>FlexScore  was created by two financial advisors to gameify the financial planning process by giving you a  score based on how well you are doing with your money and the financial  decisions you  make. Using a web-based platform, users receive their score based on unique  goals they set for themselves.  To improve the score (financial health), users earn points by completing  recommended action  steps that move them closer toward their own goals.                    <p><strong>How they describe their product/innovation:</strong> FlexScore gives you total financial clarity wrapped up in a single score. Until  now, there has never been  a product or service that truly meets the needs of both the financial advising  community and your average  everyday household that has a need to plan financially and find appropriate (not  “sold” with high commissions and kickbacks)  products and services to solve its problems. Over the last 3 years we've been  developing this web-based  financial planning service to benefit both consumers and advisors. We are announcing at FinovateSpring 2014  that FlexScore has created an Advisor  version.</p>",http://www.finovate.com/spring14vid/flexscore.html,http://www.finovate.com/spring14vid/logos/FlexScore.jpg
NICE Systems,2014,Spring,"Zeevi Bregman (CEO & President, NICE Systems), Barak Eilam (President, NICE Americas), Dafna Gruber (CFO, NICE Systems), Eran Liron (EVP Marketing & Corporate Development, NICE Systems), Yochai Rozenblat (President, Enterprise Group)","David Kostman (Chairman of the Board), Joseph Atsmon, Danny Falk, Yocheved Dvir, Rimon Ben-Shaoul, Yehoshua Ehrlich, Joseph Cowan, Léo Apotheker",,NICE is a publicly traded company on the NASDAQ.,"CISCO, BT, Alcatel-Lucent, Citrix, Amdocs, Genesys, Intel, Microsoft, IBM, NEC",,"<strong>Website: </strong><a href=""http://nice.com/enterprise"" target=""_blank"">nice.com/enterprise</a><br>
                  <strong>Blog:</strong> <a href=""http://nice.com/blog/enterprise"" target=""_blank"">nice.com/blog/enterprise</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@NICE_Enterprise"" target=""_blank"">@NICE_Enterprise</a><br>
                      <br>
                               <strong> HQ: </strong>Paramus,  NJ <br>
                               <strong>Founded: </strong>January 1986<br>
                               <strong>Product Demoed: </strong>Real-Time  Authentication<br>
                               <strong>Product Launch: </strong>September  2013<br>
                               <strong>Metrics: </strong>$945M NICE revenues (2013), 3,700 total  employees<br>
                  <strong>Presenters: </strong>Elad Hoffman (Solution Manager),
                  Lou Villanueva (Regional VP)","                    <strong>How they describe themselves: </strong>NICE  (NASDAQ: NICE) is the worldwide leader of software solutions that deliver strategic  insights by capturing and analyzing mass quantities of structured and unstructured  data in real time from multiple sources – this includes phone calls, mobile  apps, emails, chat, social media, and video. NICE solutions enable  organizations to take the Next-Best-Action to improve customer experience and  business results, ensure compliance, and fight financial crime. NICE solutions  are used by over 25,000 organizations in more than 150 countries, including over  80 of the Fortune 100 companies.                    <p><strong>How they describe their product/innovation:</strong> Real-Time  Authentication strengthens and streamlines the authentication process by  utilizing voice biometrics to authenticate customers in real time during their  conversation with an agent.</p>                    <p>With  Real-Time Authentication, contact centers can:</p>                    <ul type=""disc"">                      <li>Securely authenticate customers in real time       with no customer effort</li>                      <li>Expedite time to service and free up more       time for revenue generating activities</li>                      <li>Passively enroll the vast majority of their       customers seamlessly</li>                      <li>Improve fraud protection on all enrolled       accounts</li>                    </ul>",http://www.finovate.com/spring14vid/nice.html,http://www.finovate.com/spring14vid/logos/NICESystems.jpg
CUneXus,2014,Spring,"Dave Buerger (President & Co-Founder), Darin Chong (Co-Founder), John Reich (Co-Founder)",,"Bradley Leimer (VP Digital Strategy, Mechanics Bank), Gary Ketelsen (Entrepreneur, Technology Sales & Marketing Executive), Mark DeBellis (President, PSB Integrated Marketing), Jasper Calcara (President, D.H. Charles Engineering)",,"Digital Insight, PSB Integrated Marketing",,"<strong>Website: </strong><a href=""http://cunexus.com"" target=""_blank"">cunexus.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@cunexus"" target=""_blank"">@cunexus</a><br>
                      <br>
<strong> HQ: </strong>Santa Rosa, CA<br>
                               <strong>Founded:</strong><strong> </strong>October 2011 <br>
                               <strong>Product  Demoed:</strong> cplXpress <br>
                      <strong>Product  Launch:</strong><strong> </strong>December 2013<br>
                               <strong>Metrics:</strong><strong> </strong>Founded by a dynamic group of seasoned credit union  professionals, CUneXus is privately funded with headquarters in California's  beautiful Sonoma Wine Country. Our team and client list are growing quickly with  FI client asset sizes ranging from $400M to over $2B.<br>
                  <strong>Presenters: </strong>Dave Buerger (President &amp; Co-Founder), 
                  Darin Chong (Co-Founder)","                    <strong>How they describe themselves: </strong>Our specialized sales and  marketing systems help lenders maximize the value and profitability of existing  customer relationships. Our cplXpress product suite is integrated with leading  online and mobile banking platforms, and additional strategic partnerships  allow us to offer turn-key access to a powerful, omnichannel consumer lending  strategy that we call Comprehensive Prescreened Lending (CPL). CPL Strategy has  proven to cut costs, increase sales volume, and enhance customer experience and  satisfaction. These pioneering technologies are at the forefront of the  transition to a new era of data-driven, on-demand lending and borrowing.                     <p><strong>How they describe their product/innovation:</strong> Our cplXpress product  suite allows lending institutions to empower their customers with perpetual  loan approval status across multiple consumer lending product lines. The  solution grants customers ongoing insight into their personal buying power,  with the ability to review and instantly accept preapproved loan offers at  every touchpoint. No loan application is necessary. Our advanced risk-based  assessment and pricing engine generates a highly personalized and targeted menu  of offers based on each individual's unique financial situation and profile.  Offers are communicated within the client institution's online, mobile, branch,  call center, direct mail, and email channels. We are demoing a selection of online  banking and mobile user interfaces.</p>",http://www.finovate.com/spring14vid/cunexus.html,http://www.finovate.com/spring14vid/logos/CUneXus.jpg
Qapital,2014,Spring,"George Friedman (CEO), Erik Akterin (Lead Engineer), Henrik Wrangel (CPO), Charles Noonan (Head of US Operations)",,"Peter Read (Board Director, GP Bullhound)","Charles Noonan (Head of US Operations), Marcus Siezing (Advisor)","Plaid Technologies (plaid.com), Social Money (socialmoney.com)",,"<strong>Website: </strong><a href=""http://qapital.com"" target=""_blank"">qapital.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@qapitalapp"" target=""_blank"">@qapitalapp</a><br>
                      <br>
                               <strong> HQ: </strong>Stockholm, Sweden<br>
                               <strong>Founded:</strong> September 2012<br>
                               <strong>Product  Demoed:</strong> Qapital<br>
                      <strong>Product Launch:</strong> November  2014<br>
                  <strong>Presenters: </strong>George Friedman (CEO &amp; Founder),
                  Henrik Wrangel (Chief Product Officer)","                    <strong>How they describe themselves: </strong>Qapital is pioneering a  unique value proposition with the combination of PFM, Safe Balance, and event-based  Savings &amp; Goals in one integrated application.<br>                        <br>                      All of this delivered through building a compelling user experience on top of  smart logic and best-of-breed commercial third-party API's and platforms.<br>  <br>                      Qapital is currently live in the Swedish market and closed beta in the US with  launch scheduled for Q4 2014.                      <p><strong>How  they describe their product/innovation:</strong> Qapital for iPhone − a unique app that provides answers to  the following three questions:</p>                    <ul type=""disc"">                      <li>How       much money can I spend?</li>                      <li>How       am I spending my money?</li>                      <li>How       can I achieve the things that really matter to me?<br>                      </li>                    </ul>                    <p>The knowledge contained in  the PFM transaction data is leveraged to create smart and inspiring ways to  show how much you are able to spend as well as how to achieve your goals  through savings. <br>                        <br>                      Here are some examples of the smart and inspirational features:</p>                    <ul type=""disc"">                      <li>You've       spent less on taxis than usual this month; do you wish to transfer the surplus       to your ski trip goal?</li>                      <li>Tax       yourself a dollar toward your new guitar every time you buy a beer.</li>                      <li>Yes,       you can afford that sweater if you skip five coffees at Starbucks!</li>                    </ul>",http://www.finovate.com/spring14vid/qapital.html,http://www.finovate.com/spring14vid/logos/Qapital.jpg
Dealstruck,2014,Spring,"Ethan Senturia (CEO), Russell McLoughlin (CTO), Rudy Navarro (VP Operations)",Zalman Vitenson (Executive Chairman),"Kay Giesecke, Steve Dyrdahl, Amanda Montgomery",,National Small Business Association,"Dealstruck is focused specifically on providing a multiple-product suite on fair and transparent terms to growing businesses caught in the vast middle – below prime (banks), but above subprime (factoring & merchant cash advance). Our ultimate victory is to graduate these businesses from short-term, high-cost capital to conventional bank financing by providing the right financial product at a fair price, along with a clear and transparent path to better financing.","<strong>Website: </strong><a href=""http://dealstruck.com"" target=""_blank"">dealstruck.com</a><br>
                  <strong>Blog:</strong> <a href=""http://dealstruck.com/news"" target=""_blank"">dealstruck.com/news</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@dealstruck"" target=""_blank"">@dealstruck</a><br>
                      <br>
                               <strong> HQ: </strong>Carlsbad,  CA <br>
                               <strong>Founded: </strong>July 2012<br>
                               <strong>Product Demoed: </strong>Investor API<br>
                               <strong>Product Launch: </strong>April 2014<br>
                               <strong>Metrics: </strong>$1.2M raised to date, 13 employees<br>
                  <strong>Presenters: </strong>Ethan Senturia (CEO &amp; Co-Founder), 
                  Russell McLoughlin (CTO &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>Dealstruck  is a web-based peer-to-peer lending (P2P) company that offers a suite of  financing products to small business borrowers that are designed to  progressively graduate them toward conventional financing. This user-friendly  platform serves (1) businesses that are not eligible for bank financing and  limited to costly non-bank options, and (2) institutional and high-net-worth  investors seeking to capture yield by investing in the small business loan  asset class.                    <p><strong>How they describe their product/innovation:</strong> Historically, Dealstruck has offered an online matching service for individual  lenders and a pooled investment vehicle for institutional investors. This has  limited institutional investors to only one aggregate investment option. At  Finovate, Dealstruck is announcing an online investor API specifically catered  to the institutional investor, allowing them to access all data for individual  borrowers and to tailor investment decision-making criteria for whole loan and  fractional loan investment flexibility.</p>",http://www.finovate.com/spring14vid/dealstruck.html,http://www.finovate.com/spring14vid/logos/Dealstruck.jpg
