Conference, Name, Embed Code, Thumbnail
FinovateSpring 2014 Demo Videos,Artivest,//fast.wistia.net/embed/iframe/xdjpwi7hof,http://embed.wistia.com/deliveries/64deec30850dedc549fbb8c58a2b9a9206a1016a.jpg
FinovateSpring 2014 Demo Videos,Avoka,//fast.wistia.net/embed/iframe/h05wx0v0ne,http://embed.wistia.com/deliveries/23fae02c86012c917b880ae3bf16f19cbe121a9a.jpg
FinovateSpring 2014 Demo Videos,BodeTree,//fast.wistia.net/embed/iframe/vonmaj7lg9,http://embed.wistia.com/deliveries/17784ff222293a2071ed18090bb5396deb8c9685.jpg
FinovateSpring 2014 Demo Videos,ChiaraMail,//fast.wistia.net/embed/iframe/lcipe6p5ao,http://embed.wistia.com/deliveries/b43efb434829e7b8f4e3aaf7305543ceba47e58c.jpg
FinovateSpring 2014 Demo Videos,Coinbase,//fast.wistia.net/embed/iframe/5bzo5eaqvx,http://embed.wistia.com/deliveries/131323009fb9cc759d649ba029736b5a3dd1fd48.jpg
FinovateSpring 2014 Demo Videos,Crealogix,//fast.wistia.net/embed/iframe/vslo7rbclw,http://embed.wistia.com/deliveries/89b6644b57b65bd54b7c0876d512620545c04643.jpg
FinovateSpring 2014 Demo Videos,CuneXus,//fast.wistia.net/embed/iframe/nyvrefbe83,http://embed.wistia.com/deliveries/0dbe0e5db97dd59aa1ecff6a3eec229356d6067a.jpg
FinovateSpring 2014 Demo Videos,D3Banking,//fast.wistia.net/embed/iframe/cg27zvb0xf,http://embed.wistia.com/deliveries/dce167e51b89d1959b93d71cfc1eb0d22b7f0b14.jpg
FinovateSpring 2014 Demo Videos,Dealstruck,//fast.wistia.net/embed/iframe/ve9i9i8kbo,http://embed.wistia.com/deliveries/cdb2af20ac41f5a0973287e1ce38a569c92bb4be.jpg
FinovateSpring 2014 Demo Videos,defiSOLUTIONS,//fast.wistia.net/embed/iframe/gzmrc2svce,http://embed.wistia.com/deliveries/bcfa63cb1926c6dbcf008d6afbdcf453c9d137ac.jpg
FinovateSpring 2014 Demo Videos,DigitalInsight,//fast.wistia.net/embed/iframe/qiax0wepx3,http://embed.wistia.com/deliveries/8e95fb524ba632824ead3e3fbb5c03fed6980a3b.jpg
FinovateSpring 2014 Demo Videos,DigitalRetail,//fast.wistia.net/embed/iframe/nq6r8znspy,http://embed.wistia.com/deliveries/65bd67070471aae425aa5272cd4f1a8e96c183e5.jpg
FinovateSpring 2014 Demo Videos,EncapSecurity,//fast.wistia.net/embed/iframe/pu2i9qdx1b,http://embed.wistia.com/deliveries/4ac28d5e31d7ad3956380b5fc5f7ba5996877932.jpg
FinovateSpring 2014 Demo Videos,Endeavour,//fast.wistia.net/embed/iframe/j6cqpzdtsi,http://embed.wistia.com/deliveries/46cb29f72aeef2c98646a67165c5675090aa41cc.jpg
FinovateSpring 2014 Demo Videos,EyeVerify,//fast.wistia.net/embed/iframe/cu6q4p2spt,http://embed.wistia.com/deliveries/4286f635e97bdcf7c8dc22389f00a2819d0da13c.jpg
FinovateSpring 2014 Demo Videos,FinBuddy,//fast.wistia.net/embed/iframe/ok9ys83crr,http://embed.wistia.com/deliveries/898cac95d6df233de1e18facf5c6d7481502515f.jpg
FinovateSpring 2014 Demo Videos,Fiserv,//fast.wistia.net/embed/iframe/up99azi8of,http://embed.wistia.com/deliveries/851b59233564c3f40cd0ec252e878145fec58ed0.jpg
FinovateSpring 2014 Demo Videos,FlexScore,//fast.wistia.net/embed/iframe/8q5l0abgli,http://embed.wistia.com/deliveries/b804803d0781b8c3669f4573fb23dceb4124b8cc.jpg
FinovateSpring 2014 Demo Videos,IDme,//fast.wistia.net/embed/iframe/f8e66er10b,http://embed.wistia.com/deliveries/ff0a790cc561d42cdbe75f9a76ee5c5973675324.jpg
FinovateSpring 2014 Demo Videos,Insuritas,//fast.wistia.net/embed/iframe/ermmt22wf4,http://embed.wistia.com/deliveries/a8911987021237ec221f6ac8db7f3f2422e61225.jpg
FinovateSpring 2014 Demo Videos,IntelliResponse,//fast.wistia.net/embed/iframe/k7u4dib8kl,http://embed.wistia.com/deliveries/2760763abf8994b6facd47039ede741213106edf.jpg
FinovateSpring 2014 Demo Videos,Interactions,//fast.wistia.net/embed/iframe/azya2l7ykj,http://embed.wistia.com/deliveries/cd82eb87b260a73148dc45c1be3a59b33e3ee9b4.jpg
FinovateSpring 2014 Demo Videos,Jumio,//fast.wistia.net/embed/iframe/34bqbylsit,http://embed.wistia.com/deliveries/feb77ef653519dde15803c5d8432c399995d3209.jpg
FinovateSpring 2014 Demo Videos,Kofax,//fast.wistia.net/embed/iframe/05cbgmzail,http://embed.wistia.com/deliveries/efd7404468ca54c9f0222695ef897e44cb27b583.jpg
FinovateSpring 2014 Demo Videos,Kreditech,//fast.wistia.net/embed/iframe/hq8idycsxa,http://embed.wistia.com/deliveries/d3a419036bd886fc1757c4957fa1d8bd4de39de5.jpg
FinovateSpring 2014 Demo Videos,LendingRobot,//fast.wistia.net/embed/iframe/99erud7ffh,http://embed.wistia.com/deliveries/322b51f8da9f6a422f6b726812452502c56ada25.jpg
FinovateSpring 2014 Demo Videos,LendingTree,//fast.wistia.net/embed/iframe/3fbqy0oaff,http://embed.wistia.com/deliveries/14af1120dbc1759c189582254aea7add9e1ea2cc.jpg
FinovateSpring 2014 Demo Videos,LendUp,//fast.wistia.net/embed/iframe/t4ygqiqade,http://embed.wistia.com/deliveries/61a2de99dfd5e12fd8c8f138459c9d930648fdbc.jpg
FinovateSpring 2014 Demo Videos,Loop,//fast.wistia.net/embed/iframe/esccqxv9z0,http://embed.wistia.com/deliveries/e12ef8107b0649111d5cce8cbee16a8bd485cc5f.jpg
FinovateSpring 2014 Demo Videos,Loyal3,//fast.wistia.net/embed/iframe/zhayzlnztb,http://embed.wistia.com/deliveries/57bbff4a4b9bde11298b25a0801568bbb0a7b494.jpg
FinovateSpring 2014 Demo Videos,MarketProphit,//fast.wistia.net/embed/iframe/peyxpncxai,http://embed.wistia.com/deliveries/a4af2eb5b74c29a4fbc810e02311982938c66764.jpg
FinovateSpring 2014 Demo Videos,MotifInvesting,//fast.wistia.net/embed/iframe/9t4nkqagxj,http://embed.wistia.com/deliveries/bc13f8b11735d639b846eb5307525b0474c07ade.jpg
FinovateSpring 2014 Demo Videos,MShift,//fast.wistia.net/embed/iframe/4ut6fyj4sn,http://embed.wistia.com/deliveries/9a1b2c772bc66af8866d89fd40ed34d782e39385.jpg
FinovateSpring 2014 Demo Videos,Nearex,//fast.wistia.net/embed/iframe/sh499jxajg,http://embed.wistia.com/deliveries/56c0f57124732f2af0cfc2e302a64b37ef940324.jpg
FinovateSpring 2014 Demo Videos,NICESystems,//fast.wistia.net/embed/iframe/qcljvcfe1k,http://embed.wistia.com/deliveries/2ad5504809028b72a3c9b3e58240593ed5cf7731.jpg
FinovateSpring 2014 Demo Videos,OnBudget,//fast.wistia.net/embed/iframe/p1mpe9y7s8,http://embed.wistia.com/deliveries/3f1d4f9c2909165311413a90059af157b6e7c205.jpg
FinovateSpring 2014 Demo Videos,Qapital,//fast.wistia.net/embed/iframe/hr5bw85vje,http://embed.wistia.com/deliveries/8880e593e9aea9aa8a12ddedf13bc73a9b81c79d.jpg
